dbr:Little_Cop	wd:Q13618766
dbr:Sandra_Peterson__u0028_politician_u0029_	wd:Q7416733
dbr:Target__u0028_Embrace_song_u0029_	wd:Q7685849
dbr:Surprise_u0021___u0028_Bonnie_Pink_song_u0029_	wd:Q7646558
dbr:The_Mysterious_Dr_u002E__Fu_Manchu	wd:Q2792321
dbr:Grand_Hotel__u0028_film_u0029_	wd:Q246656
dbr:Manos_al_Aire	wd:Q1085245
dbr:Good_Morning_u002C__Boys	wd:Q617246
dbr:Take_a_Letter_u002C__Darling	wd:Q1483952
dbr:Chase_T_u002E__Rogers	wd:Q5087195
dbr:Woman_in_Chains	wd:Q1610871
dbr:Barclay_Records	wd:Q2535085
dbr:Love_Songs__u0028_Babyface_album_u0029_	wd:Q6691276
dbr:Just_as_Long_as_We_u0027_re_Together	wd:Q3020257
dbr:Limerick	wd:Q133315
dbr:Bas_u002D_Rhin	wd:Q12717
dbr:David_O_u002E__Selznick	wd:Q72291
dbr:Americana__u0028_Neil_Young__u0026__Crazy_Horse_album_u0029_	wd:Q115162
dbr:Patu_Keswani	wd:Q16980003
dbr:The_Indian_Tomb__u0028_1959_film_u0029_	wd:Q553603
dbr:Get_Throwed	wd:Q3761475
dbr:Ronan_Keating	wd:Q311467
dbr:Kevin_Warwick	wd:Q380459
dbr:I_u002E_O_u002E_U_u002E__Live	wd:Q5967872
dbr:Robert_Beatty	wd:Q634574
dbr:Mike_Coulman	wd:Q6846426
dbr:The_Fever__u0028_The_Twilight_Zone_u0029_	wd:Q4352217
dbr:I_Got_Your_Country_Right_Here	wd:Q5977322
dbr:Aamer_Anwar	wd:Q4661446
dbr:A_Stranger_in_My_Place	wd:Q4659846
dbr:Bonnie_S_u002E__Dunbar	wd:Q15429714
dbr:Gebhard_M_u00FC_ller	wd:Q69051
dbr:I_figli_del_leopardo	wd:Q3790807
dbr:Paolo_Villaggio	wd:Q471328
dbr:Cash_Money_Records	wd:Q1047366
dbr:Richard_Vernon	wd:Q327963
dbr:The_Time_u002C__the_Place_and_the_Girl__u0028_1946_film_u0029_	wd:Q7769294
dbr:Ruggero_Mastroianni	wd:Q166318
dbr:Chicago__u0028_2002_film_u0029_	wd:Q189889
dbr:Sergiyev_Posad	wd:Q193722
dbr:Jim_Steinman	wd:Q281908
dbr:College__u0028_1927_film_u0029_	wd:Q1195904
dbr:Mister_John	wd:Q17113885
dbr:William_Axt	wd:Q509538
dbr:Harry_Laurent	wd:Q5670078
dbr:Civic_Solidarity_Party	wd:Q1021186
dbr:Peter_O_u0027_Toole	wd:Q103876
dbr:Psyclon_Nine	wd:Q1807574
dbr:Slovak_language	wd:Q9058
dbr:Something_Upstairs	wd:Q7560175
dbr:Little_Women__u0028_1933_film_u0029_	wd:Q195274
dbr:Alibaba_Aur_40_Chor	wd:Q780428
dbr:Wilhelmshaven	wd:Q3857
dbr:Philippines	wd:Q928
dbr:Madonna_u003A__Truth_or_Dare	wd:Q187561
dbr:Vedham	wd:Q7917973
dbr:Boots_Malone	wd:Q3824960
dbr:Culver_City_u002C__California	wd:Q493378
dbr:Peter_Jensen__u0028_bishop_u0029_	wd:Q7174971
dbr:And_You_and_I	wd:Q760350
dbr:Kitty_Carlisle	wd:Q433459
dbr:Sophie_Weber	wd:Q7563080
dbr:Kensington	wd:Q288781
dbr:Supersonic__u0028_Oasis_song_u0029_	wd:Q1351488
dbr:The_Bridge_of_San_Luis_Rey__u0028_1929_film_u0029_	wd:Q1404775
dbr:Fabolous	wd:Q349420
dbr:Jack_Haley	wd:Q927057
dbr:Frances_Goodrich	wd:Q508285
dbr:Kamen_Rider_Blade	wd:Q1201321
dbr:War_Diary__u0028_video_game_u0029_	wd:Q3566206
dbr:Gaumont_British	wd:Q2756503
dbr:Tanay_Pant	wd:Q21622313
dbr:Coach__u0028_sport_u0029_	wd:Q41583
dbr:Lost_in_the_Dark__u0028_1947_film_u0029_	wd:Q3966518
dbr:William_Spottiswoode_Trevor	wd:Q8018665
dbr:Raja_Gosnell	wd:Q545351
dbr:Brad_Turner__u0028_director_u0029_	wd:Q747905
dbr:Novorossiysk	wd:Q15760
dbr:Charles_Worrod	wd:Q5083716
dbr:Nicolas_Cage	wd:Q42869
dbr:Bhadra__u0028_2005_film_u0029_	wd:Q4900534
dbr:Keep_Smiling__u0028_album_u0029_	wd:Q6383088
dbr:Django_Unchained	wd:Q571032
dbr:Space_Giraffe	wd:Q3492575
dbr:Pianist	wd:Q486748
dbr:Charles_Gordon__u0028_producer_u0029_	wd:Q1064570
dbr:Kauravar	wd:Q6378882
dbr:Big__u0028_film_u0029_	wd:Q858467
dbr:Sunset_Serenade	wd:Q7641351
dbr:Myl_u00E8_ne_Farmer	wd:Q185002
dbr:Gautami	wd:Q3595537
dbr:Scoop__u0028_2006_film_u0029_	wd:Q682002
dbr:Here_Comes_Trouble__u0028_Bad_Company_album_u0029_	wd:Q3282108
dbr:Raju_Chacha	wd:Q2128981
dbr:Parwana__u0028_2003_film_u0029_	wd:Q7141391
dbr:Noel__u0028_film_u0029_	wd:Q1277366
dbr:Franco_Fraticelli	wd:Q464098
dbr:Madalena_Felix	wd:Q654440
dbr:Louis_Pio	wd:Q1381327
dbr:James_Posey	wd:Q717793
dbr:Thanga_Magan__u0028_1983_film_u0029_	wd:Q7710276
dbr:Above_Suspicion__u0028_1943_film_u0029_	wd:Q579608
dbr:La_Celestina_P_u002E__u002E__u002E__R_u002E__u002E__u002E_	wd:Q3820710
dbr:Robert_Knepper	wd:Q223193
dbr:Richard_F_u002E__Heck	wd:Q106471
dbr:Hearts_and_Souls	wd:Q5692999
dbr:Ken_Foree	wd:Q529912
dbr:All_Good_Things__u0028_film_u0029_	wd:Q49903
dbr:R_u00E9_union_National_Park	wd:Q550389
dbr:Tell_u002D_Tale__u0028_film_u0029_	wd:Q1144154
dbr:The_Vanishing_American	wd:Q7772042
dbr:Martin_Cib_u00E1_k	wd:Q1772716
dbr:Day_for_Night__u0028_film_u0029_	wd:Q909816
dbr:United_Kingdom_general_election_u002C__October_1974	wd:Q918508
dbr:Roy_Orbison	wd:Q188426
dbr:Rajesh_Khanna	wd:Q107130
dbr:Wild_Bill__u0028_1995_film_u0029_	wd:Q1471493
dbr:Unholy_Love	wd:Q7884595
dbr:Strategic_Simulations	wd:Q1268871
dbr:Gino_Ferrer_Callegari	wd:Q1491659
dbr:Barry_Alexander_Brown	wd:Q4863958
dbr:Easy_Go	wd:Q5331131
dbr:David_Foster	wd:Q77112
dbr:Rex_Stout	wd:Q337351
dbr:Kenny_G	wd:Q295777
dbr:Bill_Cosby	wd:Q213512
dbr:Douglas_Slocombe	wd:Q1252526
dbr:Agrypnus_murinus	wd:Q1305137
dbr:The_Neptune_Factor	wd:Q1215256
dbr:D_u002E__W_u002E__Griffith	wd:Q51123
dbr:Francis_Ford_Coppola	wd:Q56094
dbr:Battle_of_the_Atlantic	wd:Q157627
dbr:Down_the_River_of_Golden_Dreams	wd:Q3714788
dbr:Make_Up_City	wd:Q6739105
dbr:Robert_Stigwood	wd:Q1934278
dbr:Jacob_u0027_s_Ladder__u0028_film_u0029_	wd:Q482626
dbr:The_Big_Bankroll	wd:Q12102311
dbr:Time_Limit__u0028_film_u0029_	wd:Q3207385
dbr:Once_More__u0028_1997_film_u0029_	wd:Q3424221
dbr:Doraemon_u003A__The_Records_of_Nobita_u002C__Spaceblazer	wd:Q958664
dbr:Michael_Jackson	wd:Q2831
dbr:Richie_Aprile	wd:Q2725188
dbr:Underdog__u0028_film_u0029_	wd:Q1583966
dbr:One_False_Move	wd:Q663763
dbr:Alan_King__u0028_footballer_u0029_	wd:Q4707056
dbr:Going_to_the_Mat	wd:Q945952
dbr:Impossible_Spell_Card	wd:Q16866101
dbr:Kiyoshi_Atsumi	wd:Q1370742
dbr:Jan_Troell	wd:Q381876
dbr:Mary_Harron	wd:Q348868
dbr:Tight_end	wd:Q1153176
dbr:Dance_Dance_Revolution_Music_Fit	wd:Q5215091
dbr:Cesare_Pinarello	wd:Q1056920
dbr:Sahpe	wd:Q7399721
dbr:Elmer_Bernstein	wd:Q111436
dbr:Scaramouche__u0028_1952_film_u0029_	wd:Q1897321
dbr:The_Moon_u0027_s_Our_Home	wd:Q2112023
dbr:The_Patient	wd:Q7756343
dbr:William_Petersen	wd:Q311892
dbr:Broken_Frames	wd:Q1985662
dbr:The_White_Shadow__u0028_film_u0029_	wd:Q1519490
dbr:Agua_Buena	wd:Q4694427
dbr:Caffeine__u0028_film_u0029_	wd:Q5017167
dbr:A_Fifth_of_Funk	wd:Q4656738
dbr:One_Hour	wd:Q542772
dbr:Any_Colour_You_Like	wd:Q2468030
dbr:Osaka_Prefecture	wd:Q122723
dbr:Onur_Demirsoy	wd:Q7095096
dbr:Alias_Jesse_James	wd:Q1090022
dbr:Lai_Shi_u002C__China_u0027_s_Last_Eunuch	wd:Q6473656
dbr:Biffy_Clyro	wd:Q858365
dbr:Follow_Your_Heart__u0028_1936_film_u0029_	wd:Q5464728
dbr:Shelley_Long	wd:Q232951
dbr:Bahama_Passage	wd:Q4842321
dbr:Serbian_language	wd:Q9299
dbr:Sarah_T_u002E___u2013__Portrait_of_a_Teenage_Alcoholic	wd:Q3950353
dbr:California_Suite__u0028_film_u0029_	wd:Q1171692
dbr:Death_Comes_to_Pemberley__u0028_TV_series_u0029_	wd:Q15974768
dbr:Abdurrahman_Fatalibeyli	wd:Q2072229
dbr:We_Dance_On	wd:Q304492
dbr:USS_Albany__u0028_SSN_u002D_753_u0029_	wd:Q2005990
dbr:Reading_u002C__Berkshire	wd:Q161491
dbr:Moscow	wd:Q649
dbr:Rarities__u0028_Beatles_compilations_u0029_	wd:Q29707
dbr:The_Collection__u0028_film_u0029_	wd:Q1954593
dbr:The_Flowers_of_St_u002E__Francis	wd:Q2636079
dbr:Stella_Street	wd:Q7607138
dbr:Kannathil_Muthamittal	wd:Q3182895
dbr:Woyzeck__u0028_1979_film_u0029_	wd:Q2142377
dbr:PulseAudio	wd:Q1466320
dbr:Taken__u0028_miniseries_u0029_	wd:Q1156592
dbr:Sweet_and_Hot	wd:Q7655589
dbr:Set_Fire_to_the_Rain	wd:Q321270
dbr:Art_Carney	wd:Q182431
dbr:Umgeni_River	wd:Q126268
dbr:The_Sopranos	wd:Q23628
dbr:Eudicots	wd:Q165468
dbr:Joseph_M_u002E__Schenck	wd:Q1707966
dbr:Kuala_Lumpur	wd:Q1865
dbr:Dave_Greenslade	wd:Q1173221
dbr:Don_Henderson	wd:Q1945226
dbr:Dennis_Brutus	wd:Q1189001
dbr:Tony_Tonks	wd:Q7823576
dbr:Denis_Abdullin	wd:Q452735
dbr:Birthright_u003A__The_Gorgon_u0027_s_Alliance	wd:Q2904560
dbr:7aum_Arivu	wd:Q3089385
dbr:Baku	wd:Q9248
dbr:Bill_Graham__u0028_promoter_u0029_	wd:Q862152
dbr:Women_in_Love__u0028_film_u0029_	wd:Q630132
dbr:Museum_of_Consciousness	wd:Q13584049
dbr:Just_What_I_Am	wd:Q6316438
dbr:The_Antidote__u0028_Morcheeba_album_u0029_	wd:Q1934622
dbr:Newbury_u002C__Berkshire	wd:Q655874
dbr:The_Lovely_Bones__u0028_film_u0029_	wd:Q839123
dbr:Carriers_of_Dust	wd:Q5046380
dbr:This_Strange_Engine	wd:Q116792
dbr:In_the_Good_Old_Summertime	wd:Q2844035
dbr:Doo_u002D_wop	wd:Q546359
dbr:The_Austere_Academy	wd:Q1990737
dbr:In_Search_of_the_Castaways__u0028_film_u0029_	wd:Q3129651
dbr:Dutch_Republic	wd:Q170072
dbr:Communist_Party_of_Finland__u0028_1994_u0029_	wd:Q385665
dbr:Hero__u0028_Mariah_Carey_song_u0029_	wd:Q933978
dbr:Carl_Epting_Mundy_u002C__Jr_u002E_	wd:Q5040098
dbr:The_Girl_from_Trieste	wd:Q1195319
dbr:Genevieve__u0028_album_u0029_	wd:Q5533054
dbr:Ralph_Smart	wd:Q7288095
dbr:Minsk	wd:Q2280
dbr:The_Big_Shave	wd:Q2005061
dbr:Adolf_Anderssen	wd:Q57155
dbr:Harare	wd:Q3921
dbr:Elissa_Landi	wd:Q78888
dbr:Robert_Greenhut	wd:Q2157353
dbr:Lodge_Night	wd:Q6666311
dbr:Suspect__u0028_1987_film_u0029_	wd:Q1971726
dbr:Leaves_from_Satan_u0027_s_Book	wd:Q933674
dbr:It_u0027_s_a_Joke_u002C__Son_u0021_	wd:Q6091149
dbr:The_Courtship_of_Eddie_u0027_s_Father__u0028_film_u0029_	wd:Q530679
dbr:Kansas__u0028_band_u0029_	wd:Q204328
dbr:John_Hodges__u0028_footballer_u0029_	wd:Q6239476
dbr:Lester_Roloff	wd:Q6531941
dbr:Julia_Solomonoff	wd:Q2881899
dbr:Golimaar__u0028_film_u0029_	wd:Q1007629
dbr:Four_of_the_Apocalypse	wd:Q979273
dbr:Donald_Metcalf	wd:Q1240162
dbr:Steel_Magnolias	wd:Q762140
dbr:Trishul__u0028_film_u0029_	wd:Q3999025
dbr:Edward_B_u002E__Lewis	wd:Q274123
dbr:My_Choice__u0028_After_Forever_song_u0029_	wd:Q4818471
dbr:Russ_Tamblyn	wd:Q719263
dbr:The_Blue_Light__u0028_1932_film_u0029_	wd:Q700243
dbr:Already_Home__u0028_Thousand_Foot_Krutch_song_u0029_	wd:Q3613052
dbr:Martin_Gardner	wd:Q677706
dbr:_u00C4_lvdalen_Municipality	wd:Q123855
dbr:Team_America_u003A__World_Police	wd:Q907640
dbr:Royal_Marines	wd:Q1046947
dbr:Shyam_K_u002E__Naidu	wd:Q7505918
dbr:Morioka	wd:Q200077
dbr:Open_u002D_source_software	wd:Q1130645
dbr:Farishta_Ya_Qatil	wd:Q5435348
dbr:Toobin_u0027_	wd:Q1990991
dbr:Zirkuh_County	wd:Q6407760
dbr:Sakura_Nagashi	wd:Q1753594
dbr:Brian_Howard__u0028_footballer_u0029_	wd:Q2924921
dbr:Angela_Featherstone	wd:Q447036
dbr:52nd_Street__u0028_album_u0029_	wd:Q242829
dbr:Out_of_an_Old_Man_u0027_s_Head	wd:Q7111668
dbr:David_Dias	wd:Q3017773
dbr:Filipp_Metlyuk	wd:Q975147
dbr:Delhi_Safari	wd:Q5253809
dbr:Aaron_Eckhart	wd:Q192643
dbr:The_Passion_of_Joan_of_Arc	wd:Q51520
dbr:PSD_Classic	wd:Q7120625
dbr:Iguana__u0028_film_u0029_	wd:Q4197772
dbr:_u0027_Fore_She_Was_Mama	wd:Q4540463
dbr:The_Man_with_Nine_Lives__u0028_film_u0029_	wd:Q7750128
dbr:Hold_On__u0028_Kansas_song_u0029_	wd:Q9035941
dbr:Dokken	wd:Q831041
dbr:Alice_in_Wonderland__u0028_1933_film_u0029_	wd:Q1120277
dbr:Where_Them_Girls_At	wd:Q645342
dbr:Blue	wd:Q1088
dbr:Rock_Around_the_Clock__u0028_film_u0029_	wd:Q789988
dbr:Keoma__u0028_film_u0029_	wd:Q640018
dbr:Aleksander_Suglobov	wd:Q949591
dbr:Tonite__u0028_song_u0029_	wd:Q7821511
dbr:Eros__u0028_film_u0029_	wd:Q1742092
dbr:The_Survivors__u0028_1983_film_u0029_	wd:Q502680
dbr:The_Winner__u0028_1962_film_u0029_	wd:Q3548518
dbr:Sandra__u0028_singer_u0029_	wd:Q76901
dbr:Partners__u0028_Willie_Nelson_album_u0029_	wd:Q12503335
dbr:Colt_38_Special_Squad	wd:Q3927634
dbr:I_giorni_pi_u00F9__belli	wd:Q3344320
dbr:Kevin_Smith	wd:Q489831
dbr:The_Patriot__u0028_1986_film_u0029_	wd:Q7756350
dbr:One_Way_Passage	wd:Q962536
dbr:A_Day_Will_Come	wd:Q15990851
dbr:Robert_Stanford_Tuck	wd:Q7349995
dbr:Sing_a_Song_of_Six_Pants	wd:Q7522753
dbr:Meet_Joe_Black	wd:Q676513
dbr:The_Hangman__u0028_1959_film_u0029_	wd:Q7738762
dbr:The_Buried	wd:Q7720646
dbr:Port_of_Miami__u0028_album_u0029_	wd:Q629042
dbr:Raveena_Tandon	wd:Q2001803
dbr:Forgot_About_Dre	wd:Q2384402
dbr:Il_commissario_Lo_Gatto	wd:Q3793537
dbr:Prehistoric_Women	wd:Q7239952
dbr:Star_Wars_u003A__Clone_Wars__u0028_2003_TV_series_u0029_	wd:Q616313
dbr:Mahmoud_Jibril	wd:Q296724
dbr:Mark_Johnson__u0028_producer_u0029_	wd:Q1279758
dbr:The_Wild_Bunch	wd:Q994481
dbr:Vaanam	wd:Q387092
dbr:Iowa_State_Armory	wd:Q14689077
dbr:Jimmy_Shergill	wd:Q1373345
dbr:Junior__u0028_1994_film_u0029_	wd:Q129265
dbr:Her_Favourite_Husband	wd:Q3485897
dbr:Adhurs	wd:Q1008801
dbr:Santa_Tecla_F_u002E_C_u002E_	wd:Q1754506
dbr:Thikana__u0028_film_u0029_	wd:Q11274071
dbr:Episode_29__u0028_Twin_Peaks_u0029_	wd:Q1979506
dbr:Bill_Cosby_77	wd:Q18563331
dbr:Hercules_the_Invincible	wd:Q779761
dbr:Vlagtwedde	wd:Q840460
dbr:It_u0027_s_My_Soul	wd:Q6090361
dbr:Richard_Hamming	wd:Q92619
dbr:Columbus_u002C__Georgia	wd:Q239870
dbr:Flag__u0028_James_Taylor_album_u0029_	wd:Q3746323
dbr:Children_u002C__Mother_u002C__and_the_General	wd:Q823414
dbr:Billy_Talent	wd:Q154815
dbr:Save_Room	wd:Q1446508
dbr:Konstantin_Baranov__u0028_ice_hockey_u0029_	wd:Q4077752
dbr:This_Picture__u0028_song_u0029_	wd:Q3524760
dbr:Rocky__u0028_film_series_u0029_	wd:Q1078084
dbr:Saravana	wd:Q7423406
dbr:Micro_u002D_Phonies	wd:Q6839057
dbr:Jonne_Hjelm	wd:Q535984
dbr:XXX__u0028_2002_film_u0029_	wd:Q283799
dbr:Belleville_u002C__Ontario	wd:Q34227
dbr:Neil_MacGregor	wd:Q1226759
dbr:Walter_DeLeon	wd:Q3565731
dbr:The_Last_Lear	wd:Q277741
dbr:The_Man_Who_Knew_Too_Little	wd:Q392697
dbr:Test_Pilot__u0028_film_u0029_	wd:Q1197352
dbr:Steve_McQueen__u0028_The_Automatic_song_u0029_	wd:Q7613348
dbr:Pukeko_Pictures	wd:Q7259111
dbr:This_Woman_and_This_Man	wd:Q7786395
dbr:Diante_do_Trono	wd:Q1427329
dbr:Chandramukhi	wd:Q1193810
dbr:Maxim_Gorky	wd:Q12706
dbr:Long_Way_from_Home	wd:Q4352744
dbr:Las_Palmas	wd:Q11974
dbr:Species_III	wd:Q2061549
dbr:A_Tribute_to_Bing_Crosby	wd:Q4660305
dbr:Ethiroli	wd:Q12975475
dbr:Avangard_Omsk	wd:Q787888
dbr:Roland_Giraud	wd:Q3440076
dbr:Miracle_on_34th_Street	wd:Q1467214
dbr:Aakhri_Ghulam	wd:Q4661341
dbr:The_Witch_Tree_Symbol	wd:Q7775282
dbr:DoReMi_Fantasy	wd:Q5285919
dbr:Artem_Anisimov	wd:Q713347
dbr:Lisbon_Story__u0028_1994_film_u0029_	wd:Q694651
dbr:Pietro_Germi	wd:Q53006
dbr:We_Who_Are_About_To_u002E__u002E__u002E_	wd:Q7977856
dbr:Polar_Music	wd:Q1358159
dbr:Pumping_Iron	wd:Q911699
dbr:Dwarakish	wd:Q5317877
dbr:Nassar	wd:Q3521977
dbr:Cameron_Mitchell__u0028_actor_u0029_	wd:Q493340
dbr:Veraguas_Province	wd:Q593137
dbr:Fury__u0028_2014_film_u0029_	wd:Q14786561
dbr:You_Will_Meet_a_Tall_Dark_Stranger	wd:Q1321004
dbr:Vampire_Blvd_u002E_	wd:Q7912966
dbr:The_Riordans	wd:Q7760824
dbr:Malabar_Police	wd:Q6740755
dbr:Henry_Bertram	wd:Q5718152
dbr:Vicky_Hamilton	wd:Q7925516
dbr:Eternal_Sunshine_of_the_Spotless_Mind	wd:Q208269
dbr:Sucker_Punch__u0028_album_u0029_	wd:Q7633089
dbr:General_Film_Company	wd:Q5531908
dbr:Ghosttown__u0028_Madonna_song_u0029_	wd:Q19363014
dbr:Kiss_the_Ring	wd:Q6417139
dbr:The_Disappearance_of_Garcia_Lorca	wd:Q6142015
dbr:Chess_Records	wd:Q772494
dbr:C_u0027_mon_Kids	wd:Q5005830
dbr:The_Best_of_Times__u0028_film_u0029_	wd:Q1477542
dbr:Once_Upon_a_Time_in_Mexico	wd:Q93853
dbr:King_of_the_Hill__u0028_film_u0029_	wd:Q1630996
dbr:Infamous__u0028_Abandon_All_Ships_album_u0029_	wd:Q6028770
dbr:Breakadawn	wd:Q4959366
dbr:That_Night_in_Rio	wd:Q2273829
dbr:Javier_Aguirresarobe	wd:Q1366385
dbr:Mannathara	wd:Q6750777
dbr:Grand_Slam__u0028_1967_film_u0029_	wd:Q474244
dbr:Money_on_My_Mind	wd:Q15848355
dbr:One_u002C__Two_u002C__Three	wd:Q1283810
dbr:Song_for_Someone	wd:Q20800613
dbr:No_More__u0028_Neil_Young_song_u0029_	wd:Q20649203
dbr:Slander__u0028_1956_film_u0029_	wd:Q1419047
dbr:Jan_Lievens	wd:Q430783
dbr:Elektra__u0028_2005_film_u0029_	wd:Q610159
dbr:Mahasamudram	wd:Q6733931
dbr:Reduced_to_Ashes__u0028_Deeds_of_Flesh_album_u0029_	wd:Q7306341
dbr:Tim_Curry	wd:Q52392
dbr:Road_to_Sangam	wd:Q7339557
dbr:Daughters_of_Pleasure	wd:Q5227952
dbr:Anne_of_Green_Gables__u0028_1934_film_u0029_	wd:Q384524
dbr:Jeena_Hai_Toh_Thok_Daal	wd:Q6172875
dbr:A_Chorus_of_Disapproval__u0028_film_u0029_	wd:Q3422979
dbr:Burt_Reynolds	wd:Q202148
dbr:Comoros	wd:Q970
dbr:Ibrahim_Bar_u00E9__Ma_u00EF_nassara	wd:Q365417
dbr:Rain_on_Lens	wd:Q7284510
dbr:Moonlighting__u0028_TV_series_u0029_	wd:Q471350
dbr:Concentration_20	wd:Q1107004
dbr:Bringing_Down_the_House__u0028_film_u0029_	wd:Q202029
dbr:Billy_Budd__u0028_film_u0029_	wd:Q1121916
dbr:Sierra_Leone	wd:Q1044
dbr:Kay_A_u002E__Orr	wd:Q528816
dbr:Brande_Roderick	wd:Q268311
dbr:Golden_Balls__u0028_film_u0029_	wd:Q1882729
dbr:James_H_u002E__Nicholson	wd:Q6135246
dbr:Yavarum_Nalam	wd:Q8050382
dbr:Amara_Deepam__u0028_1956_film_u0029_	wd:Q4740069
dbr:Evgeny_Muratov	wd:Q472022
dbr:Jena	wd:Q3150
dbr:Dan_Attias	wd:Q2527608
dbr:Lost_Continent__u0028_1954_film_u0029_	wd:Q2995654
dbr:Survival__u0028_Eminem_song_u0029_	wd:Q14744434
dbr:Ice_Cream_Cake__u0028_EP_u0029_	wd:Q19619386
dbr:Hot_Hot_Hot_u0021__u0021__u0021___u0028_The_Cure_song_u0029_	wd:Q2706653
dbr:The_Girl_from_10th_Avenue	wd:Q3549469
dbr:Jules_Verne	wd:Q33977
dbr:Mars_Attacks_u0021_	wd:Q271690
dbr:They_Looked_Alike	wd:Q7783730
dbr:Man__u0028_Man_album_u0029_	wd:Q6746139
dbr:Mike_White__u0028_filmmaker_u0029_	wd:Q1378351
dbr:Woman_u0027_s_Gotta_Have_It	wd:Q8030646
dbr:The_Saint_in_Miami	wd:Q7762085
dbr:Raekwon	wd:Q320167
