dbr:Bye_Bye_Love__u0028_film_u0029_	wd:Q1018481
dbr:How_to_Succeed_in_Business_Without_Really_Trying__u0028_film_u0029_	wd:Q1037371
dbr:Heaven__u0028_2002_film_u0029_	wd:Q705887
dbr:You_Made_a_Wanted_Man_of_Me	wd:Q8057371
dbr:Winds_of_September	wd:Q5943427
dbr:Bill_McGill	wd:Q1610216
dbr:Tony_Gervaise	wd:Q3029831
dbr:Julius_Randle	wd:Q15623860
dbr:Send_for_the_Saint	wd:Q7450148
dbr:National_Basketball_Association	wd:Q155223
dbr:The_Hitch_u002D_Hiker__u0028_The_Twilight_Zone_u0029_	wd:Q2651626
dbr:McCoy_Tyner	wd:Q318619
dbr:Skid_Row__u0028_American_band_u0029_	wd:Q461269
dbr:Korea_Patrol	wd:Q6431687
dbr:Absolute_100	wd:Q2859057
dbr:The_Lower_Depths__u0028_1957_film_u0029_	wd:Q1475995
dbr:Celtic_Woman_u003A__The_Greatest_Journey	wd:Q3311528
dbr:731__u0028_The_X_u002D_Files_u0029_	wd:Q4643245
dbr:The_Life_of_Joseph_W_u002E__McVey	wd:Q282793
dbr:Heartland__u0028_George_Strait_song_u0029_	wd:Q5692808
dbr:Milas_u002C__Iran	wd:Q5862672
dbr:Wernher_von_Braun	wd:Q57384
dbr:The_Simpsons	wd:Q886
dbr:Come_with_Me__u0028_Waylon_Jennings_song_u0029_	wd:Q5151373
dbr:Wim_Wenders	wd:Q55411
dbr:Vanya_on_42nd_Street	wd:Q736349
dbr:Just_Married__u0028_2007_film_u0029_	wd:Q940400
dbr:North_Dallas_Forty	wd:Q7055092
dbr:Paul_Broadbent	wd:Q7149524
dbr:Daku_Hasina	wd:Q5210106
dbr:Pulse__u0028_1995_film_u0029_	wd:Q777175
dbr:I_u0027_d_Climb_the_Highest_Mountain	wd:Q3205397
dbr:Kevin_Kerr__u0028_Scottish_footballer_u0029_	wd:Q326761
dbr:Steamboat_Round_the_Bend	wd:Q2121348
dbr:Juwanna_Mann	wd:Q3282532
dbr:Trapped__u0028_2002_film_u0029_	wd:Q217303
dbr:The_Deprogrammers	wd:Q7729756
dbr:Flying_Wild	wd:Q5463559
dbr:Gol_Besar	wd:Q5578172
dbr:Satyam__u0028_1976_film_u0029_	wd:Q7426909
dbr:Time_Bomb__u0028_Angel_u0029_	wd:Q2909686
dbr:Tyler_u002C__The_Creator	wd:Q167635
dbr:Mondo_Trasho	wd:Q2017485
dbr:Karl_Brown__u0028_cinematographer_u0029_	wd:Q11321
dbr:Unfaithfully_Yours__u0028_1984_film_u0029_	wd:Q1765305
dbr:Masked_and_Anonymous	wd:Q969428
dbr:Clarence_Love	wd:Q4873344
dbr:Kung_Mamahalin_Mo_Lang_Ako	wd:Q6444495
dbr:Charles_King__u0028_general_u0029_	wd:Q5079805
dbr:Francis_Cochrane	wd:Q5480557
dbr:Wroc_u0142_aw	wd:Q1799
dbr:Kundan_Singh_Kush	wd:Q6444288
dbr:The_Great_John_L_u002E_	wd:Q3794144
dbr:Doggy_Dogg_World	wd:Q1234719
dbr:Forever_and_a_Day__u0028_2011_film_u0029_	wd:Q5469489
dbr:Tom_and_Jerry_u003A__Blast_Off_to_Mars	wd:Q3269250
dbr:Agninakshathram__u0028_1977_film_u0029_	wd:Q18161692
dbr:Rude_Awakening__u0028_TV_series_u0029_	wd:Q1843954
dbr:The_Daring_Years	wd:Q7728901
dbr:Nikutai_wa_Sh_u014D_jiki_na_Eros	wd:Q3089895
dbr:William_Dieterle	wd:Q55413
dbr:Killer_Queen	wd:Q829960
dbr:Jerry_Byers	wd:Q1100617
dbr:Tie_Your_Mother_Down	wd:Q931887
dbr:H_u00E9_rault	wd:Q12545
dbr:Mona_Lisa__u0028_film_u0029_	wd:Q574057
dbr:Allentown_u002C__Pennsylvania	wd:Q142811
dbr:A_Message_from_Charity	wd:Q4658213
dbr:Aces_Go_Places__u0028_film_series_u0029_	wd:Q16058032
dbr:Elisabeth_Shue	wd:Q207852
dbr:Midwest_hip_hop	wd:Q2517263
dbr:Whatever_Works	wd:Q692208
dbr:Seasons__u0028_Ayumi_Hamasaki_song_u0029_	wd:Q662469
dbr:Mony_Mony__u0028_album_u0029_	wd:Q6906974
dbr:La_bottega_dell_u0027_orefice	wd:Q3423416
dbr:Young_Wives_u0027__Tale	wd:Q1102264
dbr:Mallrats	wd:Q39999
dbr:Jean_Vander_Pyl	wd:Q3174968
dbr:Padma_Shri	wd:Q949193
dbr:Death_Race_2000	wd:Q647870
dbr:Vivian_Hunter_Galbraith	wd:Q3561557
dbr:South_African_National_Gallery	wd:Q1419469
dbr:Dream_Fighter	wd:Q2437602
dbr:Four_Ways_Out	wd:Q3821812
dbr:May_Madham	wd:Q3687657
dbr:Bolton_High_School__u0028_Louisiana_u0029_	wd:Q4940185
dbr:Number_Seventeen	wd:Q205694
dbr:Jagadeka_Veeruni_Katha	wd:Q429673
dbr:Unification__u0028_Star_Trek_u003A__The_Next_Generation_u0029_	wd:Q7884883
dbr:Drive__u0028_2011_film_u0029_	wd:Q732960
dbr:Saving_My_Heart	wd:Q8278407
dbr:Monster__u0028_2003_film_u0029_	wd:Q459057
dbr:Corvetto__u0028_Milan_Metro_u0029_	wd:Q1088746
dbr:The_Other_Side__u0028_Paul_van_Dyk_song_u0029_	wd:Q7755536
dbr:Dmitri_Tarasov__u0028_ice_hockey_u0029_	wd:Q503604
dbr:Toomorrow__u0028_film_u0029_	wd:Q600445
dbr:Lloyd_Nolan	wd:Q280666
dbr:Strzelce_Opolskie	wd:Q510827
dbr:The_Golden_Bed	wd:Q3987307
dbr:Annie__u0028_1982_film_u0029_	wd:Q566890
dbr:Aldred_Scott_Warthin	wd:Q15279296
dbr:Evil__u0028_Interpol_song_u0029_	wd:Q1992449
dbr:Littlest_Things	wd:Q651633
dbr:Absent_Friends__u0028_Dad_u0027_s_Army_u0029_	wd:Q4669707
dbr:Alexei_Simakov	wd:Q1329029
dbr:Beatrice_Hicks	wd:Q41589
dbr:What_Kind_of_Love_Are_You_On	wd:Q2260376
dbr:George_Cave_u002C__1st_Viscount_Cave	wd:Q334436
dbr:Wake_Up_u002E__u002E__u002E_It_u0027_s_Tomorrow	wd:Q7960962
dbr:Some_Like_It_Hot	wd:Q190086
dbr:Moaner	wd:Q12904156
dbr:Freddie_Fox__u0028_footballer_u0029_	wd:Q10807334
dbr:Presbyterianism	wd:Q178169
dbr:Ladaai	wd:Q6469238
dbr:Bale_Pandiya__u0028_1962_film_u0029_	wd:Q4850660
dbr:Theresa_Russell	wd:Q253467
dbr:6th_Avenue_Heartache	wd:Q4642607
dbr:You_Know_My_Name	wd:Q1636004
dbr:Your_Heart_Belongs_to_Me	wd:Q2751073
dbr:Un_uomo_ritorna	wd:Q4004126
dbr:The_Deer_u0027_s_Bell	wd:Q7729561
dbr:Spiral__u0028_Pendulum_song_u0029_	wd:Q3966795
dbr:Claire_McDowell	wd:Q459580
dbr:Blindfold_Me	wd:Q3640950
dbr:Pour_Some_Sugar_on_Me	wd:Q128596
dbr:Homovore	wd:Q5891861
dbr:The_Godfather__u0028_film_series_u0029_	wd:Q3225260
dbr:No_Spare_Parts	wd:Q7045005
dbr:Goh_Poh_Seng	wd:Q5577551
dbr:Project_Kill	wd:Q7249177
dbr:Blitzkrieg_2	wd:Q2365408
dbr:Meijo_University	wd:Q847117
dbr:The_Last_of_the_Finest	wd:Q885716
dbr:THX	wd:Q1044630
dbr:Genesis_Convention_Center	wd:Q5532805
dbr:Polytechnique__u0028_film_u0029_	wd:Q2053630
dbr:The_Wonderful_Country__u0028_film_u0029_	wd:Q3202745
dbr:George_Kirya	wd:Q5541362
dbr:Straw_Dogs__u0028_1971_film_u0029_	wd:Q1163628
dbr:Vincent_D_u0027_Onofrio	wd:Q320052
dbr:Dirty_Harry__u0028_song_u0029_	wd:Q678281
dbr:Hot_Tub_Time_Machine	wd:Q925072
dbr:Central_District__u0028_Isfahan_County_u0029_	wd:Q5060828
dbr:Nirmalyam	wd:Q7040062
dbr:A_New_Leaf__u0028_film_u0029_	wd:Q223278
dbr:Six__u0028_Soft_Machine_album_u0029_	wd:Q2321277
dbr:Poole_Town_F_u002E_C_u002E_	wd:Q6418070
dbr:Poitiers	wd:Q6616
dbr:My_Girl__u0028_film_u0029_	wd:Q833299
dbr:Mystery_in_Mexico	wd:Q3331768
dbr:Selwyn_River__u002F__Waikirikiri	wd:Q2268800
dbr:Bridget_Fonda	wd:Q913872
dbr:Guru_Paarvai	wd:Q5620530
dbr:Shaun_Troke	wd:Q7490988
dbr:KMFDM	wd:Q1351424
dbr:Turn_the_Page__u0028_Bob_Seger_song_u0029_	wd:Q2717247
dbr:Revenge_of_the_Pink_Panther	wd:Q1142181
dbr:The_Separation__u0028_Animorphs_u0029_	wd:Q7763329
dbr:Final_Fantasy_Tactics_u003A__The_War_of_the_Lions	wd:Q1158777
dbr:Dysfunctional_Systems	wd:Q16246192
dbr:Philippe_Dupuis	wd:Q1524896
dbr:The_Ogre__u0028_1996_film_u0029_	wd:Q25069
dbr:Wonky__u0028_album_u0029_	wd:Q4020774
dbr:Brody_Sutter	wd:Q18379102
dbr:She_u0027_ll_Leave_You_with_a_Smile	wd:Q7491772
dbr:Cephalic_Carnage	wd:Q1054535
dbr:City_Under_the_Sea	wd:Q2419700
dbr:Alfie__u0028_Lily_Allen_song_u0029_	wd:Q2298850
dbr:Sarah_Rose_Karr	wd:Q433079
dbr:Camag_u00FC_ey_Province	wd:Q215147
dbr:Banaras_Hindu_University	wd:Q806116
dbr:The_Great_Magician	wd:Q1054393
dbr:Nasiba_Zeynalova	wd:Q2025779
dbr:Bloodline__u0028_Cary_novel_u0029_	wd:Q4927964
dbr:Festival_Records	wd:Q5445732
dbr:Salem_Ablo	wd:Q16148119
dbr:Bharya_Bhartalu	wd:Q4901336
dbr:Hamlet_2	wd:Q1514641
dbr:Christopher_Keyser	wd:Q2966609
dbr:All_in_One_Day	wd:Q4729998
dbr:Spy_Kids__u0028_franchise_u0029_	wd:Q2454758
dbr:In_Old_Oklahoma	wd:Q1213593
dbr:Aladdin_and_the_King_of_Thieves	wd:Q817003
dbr:Not_Without_My_Daughter	wd:Q1750118
dbr:Love_Her__u0028_song_u0029_	wd:Q6690621
dbr:Secret_Garden__u0028_South_Korean_TV_series_u0029_	wd:Q45871
dbr:_u0028_If_You_u0027_re_Wondering_If_I_Want_You_To_u0029__I_Want_You_To	wd:Q2627309
dbr:Titanic__u0028_1997_film_u0029_	wd:Q44578
dbr:The_Italian__u0028_1915_film_u0029_	wd:Q2022782
dbr:Phoenix__u0028_Breaking_Bad_u0029_	wd:Q20020611
dbr:That_u0027_s_My_Boy__u0028_2012_film_u0029_	wd:Q32535
dbr:Brigham_Young__u0028_film_u0029_	wd:Q2067275
dbr:Underground__u0028_1995_film_u0029_	wd:Q156516
dbr:Adam_Berkhoel	wd:Q348756
dbr:Above_and_Beyond__u0028_song_u0029_	wd:Q4668645
dbr:Willie_Talau	wd:Q8021837
dbr:Julia_Zemiro	wd:Q6306872
dbr:Marathi_language	wd:Q1571
dbr:Gale_Anne_Hurd	wd:Q269895
dbr:Massacre_in_the_Black_Forest	wd:Q6784473
dbr:House_of_9	wd:Q1650277
dbr:Drive_a_Crooked_Road	wd:Q5307928
dbr:Donald_James	wd:Q5294593
dbr:A_Charlie_Brown_Christmas	wd:Q1393337
dbr:Muse__u0028_band_u0029_	wd:Q22151
dbr:Irving_Glassberg	wd:Q253250
dbr:Jagadam	wd:Q6122063
dbr:Budapest	wd:Q1781
dbr:Pikmin_3	wd:Q2662707
dbr:Stranger_in_Moscow	wd:Q301027
dbr:The_Twilight_Zone__u0028_1985_TV_series_u0029_	wd:Q559270
dbr:Michael_Jackson_u0027_s_Ghosts	wd:Q44477
dbr:Static__u0028_The_Twilight_Zone_u0029_	wd:Q2711049
dbr:Ring_Lardner_u002C__Jr_u002E_	wd:Q728542
dbr:Lyricist	wd:Q822146
dbr:Say_It_Isn_u0027_t_So__u0028_Hall__u0026__Oates_song_u0029_	wd:Q7428968
dbr:Pro_Wrestling__u0028_Sega_Master_System_video_game_u0029_	wd:Q11541449
dbr:Time_Changer	wd:Q7804952
dbr:This_Is_Why_I_u0027_m_Hot	wd:Q195329
dbr:Relay__u0028_song_u0029_	wd:Q7310890
dbr:Harry_Piel	wd:Q78402
dbr:Fran_u00E7_ois_Cabarrus_u002C__1st_Count_of_Cabarr_u00FA_s	wd:Q2602960
dbr:Arthur_P_u002E__Schmidt	wd:Q340007
dbr:Cerasella	wd:Q3664985
dbr:One__u0028_Fat_Joe_song_u0029_	wd:Q7092413
dbr:Komarr	wd:Q594567
dbr:Ugo_Tognazzi	wd:Q55468
dbr:Chiyoda_u002C__Tokyo	wd:Q214051
dbr:Peril_u0027_s_Gate	wd:Q7168493
dbr:Kismet__u0028_1930_film_u0029_	wd:Q371663
dbr:Next_Position_Please	wd:Q3875728
dbr:Velli_Thirai	wd:Q7919178
dbr:Amblin_Entertainment	wd:Q457893
dbr:Pikanchi	wd:Q578046
dbr:Artyom_Chernov	wd:Q713445
dbr:Michael_Hoenig	wd:Q879793
dbr:Takizawa_u002C__Iwate	wd:Q1205932
dbr:Guerrilla__u0028_album_u0029_	wd:Q3778804
dbr:Only_Lovers_Left_Alive	wd:Q3352751
dbr:Brother_u0027_s_Keeper__u0028_2013_TV_series_u0029_	wd:Q13630486
dbr:Night_of_the_Blade	wd:Q3876763
dbr:Music_and_Lights	wd:Q6941710
dbr:World__u0028_The_Price_of_Love_u0029_	wd:Q8035321
dbr:Victor_Young	wd:Q365199
dbr:Crime_Without_Passion	wd:Q5185236
dbr:John_T_u002E__Davies	wd:Q6259965
dbr:Aap_Ki_Khatir__u0028_1977_film_u0029_	wd:Q4661627
dbr:Steve_Henson	wd:Q3973346
dbr:Dr_u002E__T__u0026__the_Women	wd:Q1254108
dbr:Vlastimil_Pali_u010D_ka	wd:Q2529617
dbr:Brno	wd:Q14960
dbr:Donna_d_u0027_Onna	wd:Q3713926
dbr:The_Eagle_u0027_s_Brood	wd:Q15709325
dbr:Rekha	wd:Q465826
dbr:Take_It_Easy	wd:Q2524459
dbr:What_Am_I_Gonna_Do__u0028_With_the_Rest_of_My_Life_u0029_	wd:Q7990963
dbr:Ruggero_Maccari	wd:Q968421
dbr:Grand_Prix_Simulator	wd:Q5594928
dbr:Kill_Bill	wd:Q223132
dbr:Maybe_It_u0027_s_Me__u0028_TV_series_u0029_	wd:Q2930359
dbr:The_Purple_Heart	wd:Q2625214
dbr:Taxi_u002C__Mister	wd:Q11080772
dbr:Sir_Thomas_Troubridge_u002C__3rd_Baronet	wd:Q7529289
dbr:Philippine_Agenda	wd:Q7184940
dbr:Roman_Empire	wd:Q2277
dbr:Donald_Charles_Cameron__u0028_politician_u0029_	wd:Q1239776
dbr:Follow_Me_u002C__Boys_u0021_	wd:Q2248985
dbr:The_Agency__u0028_2001_TV_series_u0029_	wd:Q932652
dbr:Tabbaliyu_Neenade_Magane	wd:Q7672978
dbr:William_M_u002E__Anderson	wd:Q2577230
dbr:The_Visitor__u0028_Star_Trek_u003A__Deep_Space_Nine_u0029_	wd:Q2890937
dbr:Ladies_Courageous	wd:Q6469485
dbr:Little_Bill__u0028_TV_series_u0029_	wd:Q3058330
dbr:Ace_Combat_04_u003A__Shattered_Skies	wd:Q2558736
dbr:Head_coach	wd:Q3246315
dbr:There_u0027_s_Always_Tomorrow__u0028_1956_film_u0029_	wd:Q1774193
dbr:Office_Space	wd:Q1044523
dbr:America_u0027_s_Sweethearts	wd:Q467631
dbr:Catocala_szechuena	wd:Q5053791
dbr:Marxism_u2013_Leninism	wd:Q211930
dbr:Rango__u0028_2011_film_u0029_	wd:Q275432
dbr:Birdman_of_Alcatraz__u0028_film_u0029_	wd:Q608943
dbr:The_First_Duty	wd:Q7734119
dbr:Just_Rewards	wd:Q2413557
dbr:Eric_Blore	wd:Q959404
dbr:Paul_Tang__u0028_politician_u0029_	wd:Q14053382
dbr:Derrick_Williams__u0028_basketball_u0029_	wd:Q927926
dbr:The_Gold_Rush	wd:Q214723
dbr:Buzz_u0021__u003A__The_Schools_Quiz	wd:Q5003479
dbr:The_Argyle_Case	wd:Q12129012
dbr:Thookku_Thookki	wd:Q7795983
dbr:Goldsmiths_u002C__University_of_London	wd:Q528231
dbr:Judy_at_Carnegie_Hall	wd:Q178924
dbr:Doesburg	wd:Q165736
dbr:Priority_Records	wd:Q522618
dbr:Dil_Vil_Pyar_Vyar	wd:Q5276648
dbr:Adriatic_Sea	wd:Q13924
dbr:Deep_Impact__u0028_film_u0029_	wd:Q49498
dbr:Reckless__u0028_1984_film_u0029_	wd:Q2067509
dbr:Doublesix	wd:Q5300149
dbr:The_Sweetest_Thing__u0028_song_u0029_	wd:Q7767651
dbr:Dramatic_Theme	wd:Q2623157
dbr:Driving_Miss_Wealthy	wd:Q5308062
dbr:Loyalty_and_Betrayal__u0028_E_u002D_40_album_u0029_	wd:Q3279144
dbr:Sunday_in_New_York	wd:Q1849684
dbr:Charged__u0028_album_u0029_	wd:Q2957745
dbr:Colombian_Conservative_Party	wd:Q747333
dbr:Death_Proof	wd:Q1137310
dbr:Peggy_Sue_Got_Married	wd:Q903257
dbr:Arbor_House	wd:Q4034270
dbr:Tarc_u0103_u_Mountains	wd:Q523065
dbr:Albert_Dekker	wd:Q2092070
dbr:Start_Cheering	wd:Q3497246
dbr:Germ_Warfare__u0028_M_u002A_A_u002A_S_u002A_H_u0029_	wd:Q5550953
dbr:Pete_Carpenter	wd:Q788503
dbr:Mikroorganizmi	wd:Q6850226
dbr:Wisin__u0026__Yandel	wd:Q910354
dbr:To_Live_in_Peace	wd:Q3561653
dbr:Edward_Hawker	wd:Q5343367
dbr:David_Benioff	wd:Q503997
dbr:British_English	wd:Q7979
dbr:La_Mata_de_Morella	wd:Q1901661
dbr:DSP_Group	wd:Q5206170
dbr:Thiruvambadi_Thamban	wd:Q7785499
dbr:Only_Women_Bleed	wd:Q3033326
dbr:Ashta_Chamma	wd:Q4805922
dbr:Paul_H_u00F6_rbiger	wd:Q647830
dbr:Louis_XVII_of_France	wd:Q49765
dbr:Gord_Sherven	wd:Q1538101
dbr:Alice_Wu	wd:Q2836688
dbr:Andrij_Parekh	wd:Q4759336
dbr:Roll__u0027_Em_u003A__Shirley_Scott_Plays_the_Big_Bands	wd:Q7360856
dbr:Underworld__u0028_band_u0029_	wd:Q849429
dbr:La_Malquerida	wd:Q11126548
dbr:Run_u2013_D_u002E_M_u002E_C_u002E_	wd:Q159351
dbr:Animal__u0028_1977_film_u0029_	wd:Q475286
dbr:Il_comune_senso_del_pudore	wd:Q3516516
dbr:D_u00E9_g_u00E9_n_u00E9_ration	wd:Q2568472
dbr:Toyomichi_Kurita	wd:Q552985
dbr:Minority_Report__u0028_film_u0029_	wd:Q244604
dbr:Cato_June	wd:Q2942964
dbr:Armageddon__u0028_1998_film_u0029_	wd:Q208344
dbr:Fatal_Fury_Special	wd:Q1074369
dbr:Bluebeard__u0028_1944_film_u0029_	wd:Q2884134
dbr:Bazaar__u0028_1982_film_u0029_	wd:Q4875084
dbr:Two_Sides_u002F_Boundaries_Are_Open	wd:Q4818515
dbr:Me_u002C__Gangster	wd:Q16028689
dbr:Star_Trek__u0028_arcade_game_u0029_	wd:Q3496992
dbr:The_Thief_and_the_Cobbler	wd:Q2657071
dbr:Batman_u003A__The_Dark_Knight_Returns__u0028_film_u0029_	wd:Q2709431
dbr:King_of_the_Zombies	wd:Q1857464
dbr:Almost_Famous	wd:Q726294
dbr:Download	wd:Q7126717
dbr:John_Carradine	wd:Q312878
dbr:Terrebonne_Parish_u002C__Louisiana	wd:Q387555
dbr:On_Air__u0028_Alan_Parsons_album_u0029_	wd:Q1756710
dbr:Windows__u0028_film_u0029_	wd:Q3569289
dbr:Look_at_Me_Now__u0028_Chris_Brown_song_u0029_	wd:Q2118825
dbr:Antony_Jay	wd:Q4354177
dbr:Sibling_Rivalry__u0028_Family_Guy_u0029_	wd:Q4049438
dbr:David_Wood__u0028_philosopher_u0029_	wd:Q5241279
dbr:New_York_Street_Games	wd:Q12126523
dbr:The_Adjuster	wd:Q1961623
dbr:Perfect_Stranger__u0028_film_u0029_	wd:Q930430
dbr:What_Ever_Happened_to_Aunt_Alice_u0025_3F	wd:Q569881
dbr:Pok_u00E9_mon_Puzzle_Challenge	wd:Q738725
dbr:Tin_Planet	wd:Q7807795
dbr:Robert_H_u002E__Jeffrey	wd:Q15999606
dbr:Rumour_Has_It__u0028_Adele_song_u0029_	wd:Q948707
dbr:Mike_Rutherford	wd:Q321092
dbr:NBA_Jam__u0028_2010_video_game_u0029_	wd:Q5479090
dbr:Parade__u0028_1974_film_u0029_	wd:Q964089
dbr:A_Matter_of_Minutes	wd:Q4658160
dbr:Padikkadha_Medhai	wd:Q7123750
dbr:Leave_It_Alone__u0028_Living_Colour_song_u0029_	wd:Q6510536
dbr:If_There_u0027_s_a_Rocket_Tie_Me_to_It	wd:Q2183047
dbr:13_Men_and_a_Gun	wd:Q4549361
dbr:Sure_Feels_Good	wd:Q7645574
dbr:Julia__u0028_1977_film_u0029_	wd:Q1166180
dbr:Ricky_Minard	wd:Q968967
dbr:Arise_u002C__My_Love	wd:Q1390900
dbr:The_Red_Siren	wd:Q3212851
dbr:Lindsay_Shoop	wd:Q2420479
dbr:The_Caretakers	wd:Q726634
dbr:Not_with_My_Wife_u002C__You_Don_u0027_t_u0021_	wd:Q846987
dbr:Cago	wd:Q5017374
dbr:The_Blossoming_of_Kamiya_Etsuko	wd:Q7718705
dbr:Tambourine__u0028_song_u0029_	wd:Q2066207
dbr:Monongahela__u0028_album_u0029_	wd:Q6901786
dbr:Philippe_Bozon	wd:Q179542
dbr:Multitude_u003A__War_and_Democracy_in_the_Age_of_Empire	wd:Q515190
dbr:Gianni_Di_Venanzo	wd:Q1522660
dbr:Robert_Hoffmann	wd:Q84926
dbr:Ronald_Berndt	wd:Q1540235
dbr:Hiraasat	wd:Q5768811
dbr:Rehnaa_Hai_Terre_Dil_Mein	wd:Q7309828
dbr:Alfred_Gomolka	wd:Q518534
dbr:Max_M_u00FC_ller__u0028_Catholic_intellectual_u0029_	wd:Q77749
dbr:Oswald_Avery	wd:Q315129
dbr:Alan_Rickman	wd:Q106481
dbr:Eye_of_the_Needle__u0028_film_u0029_	wd:Q1215103
dbr:Against_All_Flags	wd:Q1374462
dbr:Romance_of_the_Three_Kingdoms_II	wd:Q3440992
dbr:Janet_Greek	wd:Q6153371
dbr:Max_Steiner	wd:Q350704
dbr:Edward_Heath	wd:Q128967
dbr:Leonid_Azgaldyan	wd:Q1990424
dbr:Metallurg_Magnitogorsk	wd:Q853056
dbr:Foreign_Correspondent__u0028_film_u0029_	wd:Q848388
dbr:Picture_Music	wd:Q1940980
dbr:Drum_kit	wd:Q128309
dbr:Isolation__u0028_Alter_Bridge_song_u0029_	wd:Q6085929
dbr:Jovan_Sterija_Popovi_u0107_	wd:Q1287180
dbr:Jan_Smuts	wd:Q214321
dbr:Teraa_Surroor	wd:Q21998267
dbr:Robin_Trower_Live	wd:Q7352831
dbr:Something_Else__u0028_Robin_Thicke_album_u0029_	wd:Q3964565
dbr:Albrecht_Penck	wd:Q76756
dbr:Elektrosila__u0028_Saint_Petersburg_Metro_u0029_	wd:Q2315696
dbr:Sundsvall	wd:Q26476
dbr:Winnipeg_Blue_Bombers	wd:Q2117549
dbr:Spartacus__u0028_film_u0029_	wd:Q108297
dbr:Pure_Luck	wd:Q1508548
dbr:The_Lightning_Warrior	wd:Q1029278
dbr:Men_Don_u0027_t_Leave	wd:Q4305928
dbr:Vittorio_Gassman	wd:Q55452
dbr:A_Tragedy_of_Telepaths	wd:Q4660263
dbr:Main_Hoon_Na	wd:Q1503700
dbr:Shadows_and_Fog	wd:Q910523
dbr:Thieves_Like_Us__u0028_film_u0029_	wd:Q1100445
dbr:Minnesota_Democratic_u2013_Farmer_u2013_Labor_Party	wd:Q1937395
dbr:Barricade__u0028_song_u0029_	wd:Q2094167
dbr:Fancy_Chamber_Music	wd:Q5433676
dbr:Khatib_u002C__Mazandaran	wd:Q5747289
dbr:Vinnie_Johnson	wd:Q1338592
dbr:Enzo_Masetti	wd:Q3055545
dbr:Nikita__u0028_film_u0029_	wd:Q743928
dbr:Ente_Upasana	wd:Q5380119
dbr:Thane_district	wd:Q943099
dbr:Rabid_Records	wd:Q283584
dbr:Dennis_Hopper	wd:Q102711
dbr:The_Strokes	wd:Q211583
dbr:Sylvester_Stallone	wd:Q40026
dbr:Teri_Garr	wd:Q233873
dbr:Get_Your_Roll_On	wd:Q5554274
dbr:Jong_Yong_u002D_hyok	wd:Q4967937
dbr:Black_Magic__u0028_1949_film_u0029_	wd:Q3772172
dbr:Armour_of_God__u0028_film_u0029_	wd:Q1199513
dbr:Stan_Getz	wd:Q30587
dbr:The_Career_of_a_Chambermaid	wd:Q1093636
dbr:Germi_County	wd:Q1274543
dbr:Body_Kiss	wd:Q4936828
dbr:De_u002D_Lovely	wd:Q595612
dbr:Braunschweig	wd:Q2773
dbr:Valar_Dohaeris	wd:Q10923486
dbr:Prussia	wd:Q38872
dbr:University_of_Western_Australia	wd:Q1517021
dbr:Game_Tested_u002C__Streets_Approved	wd:Q5519900
dbr:Tony_Gatlif	wd:Q127481
dbr:Dee_D_u002E__Drell	wd:Q5249891
dbr:The_Girl_Habit	wd:Q3987241
dbr:Corpse_Craft_u003A__Incident_at_Weardd_Academy	wd:Q5172597
dbr:Revolutions_per_Minute__u0028_Rise_Against_album_u0029_	wd:Q808795
dbr:Mike_Forshaw	wd:Q6846882
dbr:Shah_Jahan	wd:Q83672
