dbr:Hkamti_District	wd:Q15224287
dbr:Angelo_Pizzo	wd:Q4762939
dbr:United__u0028_Dream_Evil_album_u0029_	wd:Q4005627
dbr:Edgar_Chandler__u0028_minister_u0029_	wd:Q5337169
dbr:Tom_Hammond	wd:Q7816069
dbr:Paradise_Ranch	wd:Q486230
dbr:Fists_in_the_Pocket	wd:Q2704744
dbr:Winnipeg_Jets__u0028_1972_u2013_96_u0029_	wd:Q576406
dbr:Wolfsburg	wd:Q3014
dbr:Order_of_Culture	wd:Q530124
dbr:The_Most_Wonderful_Evening_of_My_Life	wd:Q1158717
dbr:Fant_u00F4_mas_se_d_u00E9_cha_u00EE_ne	wd:Q612271
dbr:Sonnal_Thaan_Kaadhala	wd:Q7561935
dbr:Cherry_u002C__Harry__u0026__Raquel_u0021_	wd:Q3667221
dbr:Coal_Black_and_de_Sebben_Dwarfs	wd:Q3821447
dbr:Bhoothnath_Returns	wd:Q16291648
dbr:The_Kids_Are_Sick_Again	wd:Q7744271
dbr:Happy_Feet__u0028_video_game_u0029_	wd:Q5652731
dbr:Mr_u002E__Bevis	wd:Q3488509
dbr:Hertfordshire	wd:Q3410
dbr:The_Warning__u0028_Animorphs_u0029_	wd:Q7773572
dbr:Claude_Chabrol	wd:Q55375
dbr:Towns_of_the_People_u0027_s_Republic_of_China	wd:Q735428
dbr:Himmatwala__u0028_2013_film_u0029_	wd:Q5765406
dbr:Family_Bible__u0028_Willie_Nelson_album_u0029_	wd:Q5433058
dbr:Outre_Mer	wd:Q7112903
dbr:So_This_Is_Marriage_u0025_3F	wd:Q7549553
dbr:Blue_Collar_TV	wd:Q4928992
dbr:Rory_Fallon	wd:Q439949
dbr:Nasty_Girl__u0028_Ludacris_song_u0029_	wd:Q4045068
dbr:Tie_Me_Up_u0021__Tie_Me_Down_u0021_	wd:Q600176
dbr:Sexy_Boy__u0028_Soyokaze_ni_Yorisotte_u0029_	wd:Q1137313
dbr:East_Germany	wd:Q16957
dbr:Marcello_Mastroianni	wd:Q55469
dbr:Ace_Books	wd:Q536795
dbr:The_Magician_u0027_s_Apprentice	wd:Q7749523
dbr:Lego_The_Hobbit__u0028_video_game_u0029_	wd:Q393059
dbr:Kenny_Thomas__u0028_basketball_u0029_	wd:Q2335114
dbr:Kazimierz_Fajans	wd:Q213667
dbr:Evanston_u002C__Illinois	wd:Q462799
dbr:The_Stuff	wd:Q657008
dbr:Esena_Foundation_High_School	wd:Q5397581
dbr:Scott_Alexander_and_Larry_Karaszewski	wd:Q3218068
dbr:Russ_Meyer	wd:Q315325
dbr:20_u002F_20_Vision__u0028_The_Twilight_Zone_u0029_	wd:Q4597090
dbr:Arthur_Hiller	wd:Q455043
dbr:Maroon_5	wd:Q182223
dbr:Warp__u0028_record_label_u0029_	wd:Q543707
dbr:Control_Freek	wd:Q5165834
dbr:Save_Me__u0028_Darren_Styles_song_u0029_	wd:Q7428014
dbr:North_American_Scum	wd:Q7053868
dbr:Jagjaguwar	wd:Q511652
dbr:Burt_Lancaster	wd:Q160528
dbr:Br_u00F6_llopsfotografen	wd:Q4353940
dbr:Ronald_Reagan	wd:Q9960
dbr:J_u00F8_rgen_Jensen__u0028_VC_u0029_	wd:Q12320745
dbr:Souvenir_d_u0027_Italie	wd:Q3487718
dbr:Stagecoach__u0028_1966_film_u0029_	wd:Q3208286
dbr:The_Secret_of_Madame_Blanche	wd:Q2414150
dbr:Dumm_Dumm_Dumm	wd:Q3429533
dbr:Charles_Albright__u0028_congressman_u0029_	wd:Q2958371
dbr:A_Guide_to_Recognizing_Your_Saints	wd:Q1540260
dbr:Jean_u002D_L_u00E9_on_G_u00E9_r_u00F4_me	wd:Q212499
dbr:Miami_Beach_u002C__Florida	wd:Q201516
dbr:Henry_Grover	wd:Q16016457
dbr:Star_Trek_u003A__The_Original_Series	wd:Q1077
dbr:Big_Band__u0028_album_u0029_	wd:Q4904999
dbr:Jim_Sturgess	wd:Q512577
dbr:Fool_for_Your_Loving	wd:Q3655991
dbr:I_Still_u002E__u002E__u002E_	wd:Q2600214
dbr:Where_I_Wanna_Be__u0028_Shade_Sheist_song_u0029_	wd:Q7993288
dbr:Raef_LaFrentz	wd:Q1371485
dbr:Paul_Dano	wd:Q343616
dbr:Tony_McWalter	wd:Q7822951
dbr:Without_You_I_u0027_m_Nothing__u0028_Placebo_album_u0029_	wd:Q1133859
dbr:Celtic_Woman_u003A__Songs_from_the_Heart	wd:Q3311541
dbr:Morning_Musume	wd:Q174291
dbr:Jason_Isaacs	wd:Q214223
dbr:Milton_R_u002E__Krasner	wd:Q1396531
dbr:Rise_Records	wd:Q2154708
dbr:Cooking_Vinyl	wd:Q2996526
dbr:Red_Sonja__u0028_film_u0029_	wd:Q858860
dbr:Catocala_agitatrix	wd:Q5053623
dbr:Mike_Judge	wd:Q434585
dbr:Parmotrema	wd:Q10620680
dbr:Laure__u0028_film_u0029_	wd:Q3827879
dbr:April_in_Quahog	wd:Q4034237
dbr:Sidney_Wood	wd:Q54693
dbr:Catherine_Colonna	wd:Q273396
dbr:Andrei_Tarkovsky	wd:Q853
dbr:Lipke_Holthuis	wd:Q553892
dbr:Doyle_Clayton_Barnes	wd:Q5303742
dbr:Time__u0028_The_Young_Ones_u0029_	wd:Q7804892
dbr:Vamsa_Vilakku	wd:Q18358124
dbr:A_Very_Brady_Sequel	wd:Q1211697
dbr:Tales_of_the_Abyss	wd:Q82050
dbr:Ben_Affleck	wd:Q483118
dbr:The_Associates__u0028_U_u002E_S_u002E__TV_series_u0029_	wd:Q3791087
dbr:Spring_Reunion	wd:Q17048775
dbr:Utpal_Dutt	wd:Q2723876
dbr:Marie_Antoinette__u0028_1938_film_u0029_	wd:Q1897128
dbr:Nino_Rota	wd:Q214665
dbr:Baen_Books	wd:Q799732
dbr:St_Peter_u0027_s_Church_u002C__Heversham	wd:Q15979493
dbr:Tokyo	wd:Q1490
dbr:Fr_u00F6_lunda_HC	wd:Q1142013
dbr:The_Return_of_the_Third_Tower	wd:Q7760467
dbr:Stan_Laurel	wd:Q72869
dbr:Off_the_Ground__u0028_song_u0029_	wd:Q278265
dbr:Japandroids	wd:Q720884
dbr:Life_in_a_Northern_Town	wd:Q6545181
dbr:Majlis_u002D_e_u002D_Ahrar_u002D_ul_u002D_Islam	wd:Q15980792
dbr:Joseph_Murray	wd:Q192282
dbr:Inqulab_Zindabbad	wd:Q6036931
dbr:Tina_Gray	wd:Q21003974
dbr:Brian_Roberts__u0028_basketball_u0029_	wd:Q913008
dbr:Maha_Kali	wd:Q1187429
dbr:Homalin_Township	wd:Q5887473
dbr:James_R_u002E__Webb	wd:Q505675
dbr:Ports__u0028_comarca_u0029_	wd:Q2248089
dbr:Porgy__u0026__Bess__u0028_Joe_Henderson_album_u0029_	wd:Q250312
dbr:Donal_McCann	wd:Q437907
dbr:Billy_Crudup	wd:Q313650
dbr:The_Miracles	wd:Q1761222
dbr:Doug_Supernaw	wd:Q1251867
dbr:Life_Begins_at_Forty__u0028_1935_film_u0029_	wd:Q12125709
dbr:Nunnally_Johnson	wd:Q2005146
dbr:OpenL_Tablets	wd:Q7095814
dbr:The_Potter_u0027_s_Field__u0028_Peters_novel_u0029_	wd:Q7757892
dbr:Nuts__u0028_film_u0029_	wd:Q943300
dbr:Tallinn	wd:Q1770
dbr:Magic_in_the_Moonlight	wd:Q14511869
dbr:The_Quatermass_Xperiment	wd:Q1683913
dbr:Iliesa_Keresoni	wd:Q3148668
dbr:Sunsoft	wd:Q2298387
dbr:Cornershop	wd:Q1134101
dbr:Tyr__u0028_album_u0029_	wd:Q838304
dbr:American_Hustle	wd:Q9013673
dbr:Romance_of_the_Three_Kingdoms_VI_u003A__Awakening_of_the_Dragon	wd:Q7362423
dbr:Mudshovel	wd:Q6931873
dbr:Art_Nouveau	wd:Q34636
dbr:Malibu_u0027_s_Most_Wanted	wd:Q126492
dbr:La_Grande_Vadrouille	wd:Q487789
dbr:Polly_Peyer	wd:Q7225818
dbr:Human_Cargo__u0028_film_u0029_	wd:Q1498106
dbr:The_Quick_and_the_Dead__u0028_1995_film_u0029_	wd:Q756416
dbr:USS_Gypsum_Queen__u0028_SP_u002D_430_u0029_	wd:Q7869931
dbr:Pran__u0028_actor_u0029_	wd:Q3111264
dbr:The_Actors	wd:Q616385
dbr:Alexander_I_of_Yugoslavia	wd:Q207384
dbr:Livets_teater	wd:Q4357274
dbr:Arisa_II_u003A__Shake_Your_Body_for_Me	wd:Q4790856
dbr:Brad_Garrett	wd:Q331720
dbr:Carlo_Lizzani	wd:Q26208
dbr:Hans_u002D_Joachim_von_Merkatz	wd:Q566322
dbr:Space_u003A__1999	wd:Q1045743
dbr:What_Have_I_Done_to_Deserve_This_u0025_3F__u0028_film_u0029_	wd:Q2060452
dbr:Salvatore_Termini	wd:Q3946240
dbr:Coaster__u0028_album_u0029_	wd:Q2536668
dbr:Javier_Alatorre	wd:Q6165402
dbr:The_Great_Wall__u0028_film_u0029_	wd:Q19587336
dbr:Joel_Edgerton	wd:Q381768
dbr:Jus_primae_noctis__u0028_film_u0029_	wd:Q3811455
dbr:My_Blueberry_Nights	wd:Q737650
dbr:Shara_u0027_b_As_Salam_District	wd:Q4120340
dbr:Loved_by_Few_u002C__Hated_by_Many__u0028_Willie_D_album_u0029_	wd:Q6692060
dbr:Penza	wd:Q5540
dbr:Pulling_Punches	wd:Q7259466
dbr:Fallen_Leaves	wd:Q23279
dbr:Decameron_Nights__u0028_1924_film_u0029_	wd:Q5248732
dbr:Who_u0027_s_Your_Daddy_Now_u0025_3F	wd:Q7997095
dbr:Paradise__u0028_Kenny_G_album_u0029_	wd:Q3282435
dbr:The_Swindle__u0028_1997_film_u0029_	wd:Q606935
dbr:Murder_on_a_Bridle_Path	wd:Q6938121
dbr:Bravely_Default	wd:Q2083917
dbr:World_in_My_Eyes	wd:Q2428773
dbr:Insomnia__u0028_Craig_David_song_u0029_	wd:Q3799173
dbr:Malice_in_the_Palace	wd:Q3285381
dbr:Low_u002D_Life	wd:Q372143
dbr:808s__u0026__Heartbreak	wd:Q271308
dbr:Jay_Sean	wd:Q294907
dbr:Reggie_Slack	wd:Q7308310
dbr:London_Borough_of_Brent	wd:Q207201
dbr:Jewel_Thief	wd:Q1549119
dbr:Robin_Ross	wd:Q7352751
dbr:Shirley_Scott	wd:Q463296
dbr:De_u002D_Anne_Kelly	wd:Q5243805
dbr:Frank_Collier	wd:Q5485896
dbr:Craig_Smith__u0028_basketball_u002C__born_1983_u0029_	wd:Q2565774
dbr:Prove_Me_Wrong	wd:Q7252318
dbr:Southport	wd:Q868647
dbr:Split_Loyalties	wd:Q7578648
dbr:Ian_Gordon__u0028_ice_hockey_u0029_	wd:Q1655519
dbr:John_Marty	wd:Q6247018
dbr:Predator__u0028_film_u0029_	wd:Q200804
dbr:Boulogne_u002D_Billancourt	wd:Q172455
dbr:Vernon_Dent	wd:Q7922109
dbr:Ready_for_the_Victory	wd:Q3496341
dbr:Museo_del_Prado	wd:Q160112
dbr:In_u003A__Sanity	wd:Q6008703
dbr:Invasion_Quartet	wd:Q6059575
dbr:_u002E__u002E__u002E_tick_u002E__u002E__u002E_tick_u002E__u002E__u002E_tick_u002E__u002E__u002E_	wd:Q4545163
dbr:Shooter__u0028_2007_film_u0029_	wd:Q309014
dbr:Jamie_Cording	wd:Q16204603
dbr:Edmond_Pag_u00E8_s	wd:Q529051
dbr:Laurie_Brown__u0028_footballer_u0029_	wd:Q6501519
dbr:The_Upsetter__u0028_film_u0029_	wd:Q7771793
dbr:Benny_Andersson	wd:Q214582
dbr:I_Know__u0028_Jay_u002D_Z_song_u0029_	wd:Q3790279
dbr:Hobgoblins__u0028_film_u0029_	wd:Q1621605
dbr:Gilberto_Benetton	wd:Q3105931
dbr:Greatest_Hits__u0028_The_Doors_album_u0029_	wd:Q1755554
dbr:Section_84	wd:Q20814741
dbr:No_Small_Affair	wd:Q337730
dbr:Tallahassee_u002C__Florida	wd:Q37043
dbr:The_Boys__u0028_Nicki_Minaj_and_Cassie_song_u0029_	wd:Q623131
dbr:Dogville	wd:Q327681
dbr:Robert_Duvall	wd:Q171736
dbr:Jack_Heslop_u002D_Harrison	wd:Q11925854
dbr:Show_People	wd:Q1366541
dbr:Just_Friends	wd:Q1292187
dbr:Left_Liberation_Front	wd:Q6516886
dbr:Greatest_Hits__u0028_Barry_Manilow_album_u0029_	wd:Q5601057
dbr:The_Best_Years_of_Our_Lives	wd:Q645094
dbr:Red_Light__u0028_film_u0029_	wd:Q3070966
dbr:The_Story_of_a_Great_Schoolmaster	wd:Q7766818
dbr:The_Captain_u0027_s_Daughter__u0028_film_u0029_	wd:Q3822354
dbr:2_Days_in_the_Valley	wd:Q222873
dbr:Mike_Ferguson__u0028_New_Jersey_politician_u0029_	wd:Q543078
dbr:HMCS_Ste_u002E__Therese__u0028_K366_u0029_	wd:Q17018376
dbr:Franz_Waxman	wd:Q213611
dbr:Song_for_Bob_Dylan	wd:Q7561086
dbr:Dan_Duryea	wd:Q1159055
dbr:Flying_the_Foam_and_Some_Fancy_Diving	wd:Q5463613
dbr:Naughty_Girl__u0028_Holly_Valance_song_u0029_	wd:Q1768301
dbr:Duel_in_the_Sun__u0028_film_u0029_	wd:Q1263918
dbr:Dichomeris_punctidiscellus	wd:Q13589629
dbr:Storm_at_Daybreak	wd:Q1311962
dbr:James_Joseph_Sylvester	wd:Q310781
dbr:Dynasty_Tactics_2	wd:Q16246188
dbr:Accra	wd:Q3761
dbr:Louis_Malle	wd:Q55392
dbr:Steven_Berkoff	wd:Q529849
dbr:Unforgettable__u0028_Melon_Kinenbi_song_u0029_	wd:Q3133723
dbr:Bullet__u0028_1996_film_u0029_	wd:Q911823
dbr:International_Squadron__u0028_film_u0029_	wd:Q6053604
dbr:Leverkusen	wd:Q2938
dbr:Gin_and_Juice	wd:Q1010545
dbr:Robert_Aldrich	wd:Q95133
dbr:Malleray	wd:Q67544
dbr:Robert_Altman	wd:Q55163
dbr:Still_in_the_Groove	wd:Q1055491
dbr:V_u00E9_g_u00E9_tal	wd:Q2253440
dbr:Joan_Crawford	wd:Q40475
dbr:Futurama_u003A__Bender_u0027_s_Game	wd:Q1377330
dbr:On_ne_meurt_que_deux_fois	wd:Q3352260
dbr:Signs__u0028_film_u0029_	wd:Q22432
dbr:Josefina_Napravilov_u00E1_	wd:Q12026911
dbr:Riyadh_al_Laafi	wd:Q7339029
dbr:In_Society	wd:Q3763677
dbr:Alan_Ladd	wd:Q346280
dbr:Treg_Brown	wd:Q544350
dbr:Manoj_Kumar__u0028_Tamil_film_director_u0029_	wd:Q16731937
dbr:Change__u0028_Tears_for_Fears_song_u0029_	wd:Q10448314
