dbr:Ron_Howard	wd:Q103646
dbr:CCW__u0028_album_u0029_	wd:Q5009752
dbr:Come_See_Me_and_Come_Lonely	wd:Q5151269
dbr:Hugh_FitzRoy_u002C__11th_Duke_of_Grafton	wd:Q335374
dbr:Pierre_Blanchar	wd:Q958955
dbr:Absorber__u0028_album_u0029_	wd:Q4669886
dbr:Lord_of_Ultima	wd:Q1065375
dbr:Do_the_Right_Thing	wd:Q1141252
dbr:Philadelphia	wd:Q1345
dbr:Presenting_Lily_Mars	wd:Q3240954
dbr:Band_Candy	wd:Q2741780
dbr:3_Ring_Circus	wd:Q673099
dbr:Kansas_City_Chiefs	wd:Q223522
dbr:Alma_Matters	wd:Q428095
dbr:Love_Bites__u0028_Grace_Jones_song_u0029_	wd:Q6690395
dbr:Mark_Mothersbaugh	wd:Q1351259
dbr:Georgie_Stoll	wd:Q1507268
dbr:Tol_u00E9_	wd:Q2530331
dbr:Age_of_Love__u0028_album_u0029_	wd:Q392296
dbr:Gerhard_Lamprecht	wd:Q71547
dbr:The_Great_Escape__u0028_film_u0029_	wd:Q110354
dbr:Running_Man__u0028_TV_series_u0029_	wd:Q21149
dbr:Mash_u002D_Up__u0028_Glee_u0029_	wd:Q2599800
dbr:We_Takin_u0027__Over	wd:Q7977793
dbr:Upstairs_u002C__Downstairs__u0028_1971_TV_series_u0029_	wd:Q1168760
dbr:Jeronne_Maymon	wd:Q18749083
dbr:Seven_Days_to_Noon	wd:Q1389525
dbr:Maarkaba	wd:Q17335038
dbr:LucasArts	wd:Q216611
dbr:Barrayar	wd:Q2419894
dbr:Caravaggio__u0028_1986_film_u0029_	wd:Q1035443
dbr:Claudette_Colbert	wd:Q203819
dbr:Christoph_Wilhelm_Jacob_Gatterer	wd:Q108107
dbr:Ballz	wd:Q2881443
dbr:Billy_Hibbert	wd:Q10418209
dbr:Border_Patrol__u0028_film_u0029_	wd:Q4944598
dbr:Honey_u002C__I_u0027_m_Home	wd:Q3034466
dbr:Jethro_Tull__u0028_band_u0029_	wd:Q192353
dbr:Sidney_Buchman	wd:Q332043
dbr:Classical_music	wd:Q9730
dbr:Country_Song__u0028_Jake_Bugg_song_u0029_	wd:Q5177416
dbr:The_Seventh_Floor__u0028_1967_film_u0029_	wd:Q3793997
dbr:Navy_Blue_and_Gold__u0028_film_u0029_	wd:Q3824951
dbr:Missionary	wd:Q219477
dbr:Lyn_Ott	wd:Q6708357
dbr:Mrs_u002E__Miniver__u0028_film_u0029_	wd:Q478371
dbr:Terrible_Joe_Moran	wd:Q7703649
dbr:Slattery_u0027_s_Hurricane	wd:Q1422473
dbr:Sonny_Rollins_on_Impulse_u0021_	wd:Q3490662
dbr:Cape_Fear__u0028_1991_film_u0029_	wd:Q501995
dbr:Para_Qu_u00E9__la_Vida	wd:Q3894961
dbr:Vitaly_Atyushov	wd:Q933375
dbr:The_Rats__u0028_1921_film_u0029_	wd:Q14949916
dbr:Carl_Jess	wd:Q5040379
dbr:X_u002D_Men_u003A__The_Last_Stand	wd:Q221168
dbr:Vapors__u0028_song_u0029_	wd:Q7915343
dbr:Busta_Rhymes	wd:Q59185
dbr:Jacobus_Henricus_van__u0027_t_Hoff	wd:Q102822
dbr:Amazing_Stories__u0028_TV_series_u0029_	wd:Q940102
dbr:Vladimir_Alexeyev	wd:Q3498539
dbr:Hey_There_u002C__It_u0027_s_Yogi_Bear_u0021_	wd:Q965233
dbr:Heat_Wave__u0028_1990_film_u0029_	wd:Q5693220
dbr:Al_u002D_Rayyan_u002C__Syria	wd:Q15178890
dbr:Samurai_Shodown__u0028_video_game_u0029_	wd:Q1209867
dbr:Laval_u002C__Quebec	wd:Q141810
dbr:Stoke_u002D_on_u002D_Trent	wd:Q134902
dbr:Night_Owls__u0028_film_u0029_	wd:Q8859654
dbr:Samaantharangal	wd:Q7408421
dbr:Pipes_of_Peace	wd:Q1753940
dbr:Mario_Ardizzon	wd:Q986363
dbr:Jaws__u0028_film_u0029_	wd:Q189505
dbr:Oswaldo_S_u00E1_nchez	wd:Q354327
dbr:Gut_Records	wd:Q5621680
dbr:Alvin_Williams	wd:Q1618149
dbr:Anime	wd:Q1107
dbr:Taxi_Ride	wd:Q7689624
dbr:_u002E__u002E__u002E__nur_ein_Kom_u00F6_diant	wd:Q426333
dbr:John_Goldfarb_u002C__Please_Come_Home_u0021_	wd:Q2080652
dbr:Meco	wd:Q899339
dbr:Viktor_Kostyuchenok	wd:Q772431
dbr:Let_u0027_s_Get_Harry	wd:Q1110245
dbr:Junior_Achievement	wd:Q1153045
dbr:Porta_Genova__u0028_Milan_Metro_u0029_	wd:Q510765
dbr:I_Alone	wd:Q5975872
dbr:Peter_James__u0028_cinematographer_u0029_	wd:Q2076005
dbr:Ljuba_Tadi_u0107_	wd:Q1249807
dbr:Chasing_Pavements	wd:Q1068057
dbr:U_Me_Aur_Hum	wd:Q844747
dbr:Esther_Lederberg	wd:Q586884
dbr:Symphonic_rock	wd:Q719927
dbr:Chicago_X	wd:Q5095848
dbr:The_Haunted_Palace	wd:Q1982191
dbr:Nada_Valgo_Sin_Tu_Amor	wd:Q2894450
dbr:Warren_Low	wd:Q1711224
dbr:Bad_Homburg_vor_der_H_u00F6_he	wd:Q4165
dbr:John_W_u002E__Geary	wd:Q795522
dbr:Hendrik_Lenstra	wd:Q173783
dbr:Marvel_Super_Hero_Squad_u003A__The_Infinity_Gauntlet	wd:Q3850389
dbr:Scream_and_Scream_Again	wd:Q1218827
dbr:Gainesville_u002C__Florida	wd:Q487999
dbr:Soprano_Home_Movies	wd:Q7563203
dbr:Parvarish__u0028_1977_film_u0029_	wd:Q3429782
dbr:Wilhelm_R_u00F6_ntgen	wd:Q35149
dbr:Ghajini__u0028_2005_film_u0029_	wd:Q2737320
dbr:Brooks__u0026__Dunn	wd:Q929683
dbr:Shining_Star__u0028_Fish_Leong_album_u0029_	wd:Q7497558
dbr:Paulo_Macedo__u0028_basketball_u0029_	wd:Q3372812
dbr:Chameleon__u0028_The_Twilight_Zone_u0029_	wd:Q5069749
dbr:Pandurangadu	wd:Q7130776
dbr:Southampton	wd:Q79848
dbr:Indiana_University_Bloomington	wd:Q1079140
dbr:Toma__u0028_TV_series_u0029_	wd:Q3992554
dbr:Benaki_Museum	wd:Q816669
dbr:Jean_u002D_Louis_Trintignant	wd:Q106204
dbr:Danny_Halliwell	wd:Q5220417
dbr:William_Powell	wd:Q105960
dbr:Khatia_Tchkonia	wd:Q4982977
dbr:Seth_Green	wd:Q186757
dbr:Bad_Hersfeld	wd:Q16145
dbr:Side_Effects__u0028_song_u0029_	wd:Q7508268
dbr:Return_of_the_Living_Dead_Part_II	wd:Q2298697
dbr:My_Downfall__u0028_Original_Soundtrack_u0029_	wd:Q1180233
dbr:Lakshmi__u0028_actress_u0029_	wd:Q277698
dbr:Joseph_Walker__u0028_cinematographer_u0029_	wd:Q960230
dbr:Sangraam	wd:Q3472228
dbr:Bert_Wheeler	wd:Q4895372
dbr:Brian_Sipotz	wd:Q2925000
dbr:James_Earl_Jones	wd:Q203960
dbr:Merle_Haggard	wd:Q183092
dbr:Power_Rangers_Megaforce	wd:Q560416
dbr:Never_Been_Kissed	wd:Q463765
dbr:Ai_no_Chiky_u016B_sai	wd:Q15052450
dbr:Samson_Raphaelson	wd:Q1858461
dbr:Restoration__u0028_1995_film_u0029_	wd:Q2093029
dbr:Maurice_Brookhart	wd:Q11203329
dbr:Business_Ethics__u0028_The_Office_u0029_	wd:Q5001718
dbr:G_u002E_I_u002E__Joe_u003A__The_Rise_of_Cobra	wd:Q288645
dbr:Ignorance__u0028_song_u0029_	wd:Q1096158
dbr:A_Man_in_Love__u0028_1987_film_u0029_	wd:Q1467757
dbr:City_of_Angels__u0028_film_u0029_	wd:Q168010
dbr:Mick_Jagger	wd:Q128121
dbr:Fighting_in_a_Sack	wd:Q5447947
dbr:Carol_Baker_Tharp	wd:Q5044245
dbr:Jos_u00E9__F_u00E9_lix_D_u00ED_az	wd:Q6279367
dbr:La_Notte	wd:Q1215047
dbr:Rafoo_Chakkar	wd:Q7282715
dbr:Bob_Corkum	wd:Q887861
dbr:All_You_Need_Is_Me	wd:Q3612211
dbr:Confidence__u0028_2003_film_u0029_	wd:Q652586
dbr:Oru_Muthassi_Katha	wd:Q7105132
dbr:Adivishnu	wd:Q4683116
dbr:Sweet_Hitch_u002D_Hiker	wd:Q4353498
dbr:Twenty_Ten__u0028_album_u0029_	wd:Q7857812
dbr:Morelia	wd:Q200252
dbr:Boston_University	wd:Q49110
dbr:Lauri_Lahesalu	wd:Q446116
dbr:Last_Holiday__u0028_2006_film_u0029_	wd:Q1634476
dbr:Ron_Loustel	wd:Q6381561
dbr:Shree_Venkatesh_Films	wd:Q7503531
dbr:Sergiu_Nicolaescu	wd:Q634875
dbr:Miami_Heat	wd:Q169138
dbr:Significant_Other	wd:Q846179
dbr:No_Holds_Barred__u0028_1952_film_u0029_	wd:Q7044292
dbr:My_Girl__u0028_Arashi_song_u0029_	wd:Q2759894
dbr:Carnival_Boat	wd:Q17986275
dbr:The_Complete_Compleat_Enchanter	wd:Q7727122
dbr:Night_on_Earth	wd:Q506279
dbr:My_Family_and_Other_Animals__u0028_film_u0029_	wd:Q6945374
dbr:Rajanala_Kaleswara_Rao	wd:Q7285728
dbr:Escape_from_L_u002E_A_u002E_	wd:Q741026
dbr:A_Regular_Fellow	wd:Q3602693
dbr:Unity__u0028_Star_Trek_u003A__Voyager_u0029_	wd:Q7893741
dbr:Karm	wd:Q11001001
dbr:Mid_Suffolk	wd:Q1931811
dbr:The_Cook_u002C__the_Thief_u002C__His_Wife__u0026__Her_Lover	wd:Q661202
dbr:Rajesh_Roshan	wd:Q2074877
dbr:Bacon_Grabbers	wd:Q1756170
dbr:North_Carolina_State_University	wd:Q1132346
dbr:The_Big_Brawl	wd:Q1218517
dbr:Army_of_One__u0028_The_Sopranos_u0029_	wd:Q4794324
dbr:The_Sixteen_u002D_Millimeter_Shrine	wd:Q2631660
dbr:Gorky_Park__u0028_film_u0029_	wd:Q594307
dbr:Another_Future	wd:Q17497247
dbr:Despicable_Me_2	wd:Q637212
dbr:Idlewild__u0028_film_u0029_	wd:Q644250
dbr:Kung_Fu_Panda_u003A__Legends_of_Awesomeness	wd:Q94428
dbr:Matthew_Nimetz	wd:Q6791019
dbr:Kiss_the_Blood_off_My_Hands	wd:Q1610106
dbr:Tied__u0026__True	wd:Q7800968
dbr:G_u002E__Devarajan	wd:Q5512207
dbr:Payanam__u0028_film_u0029_	wd:Q7156673
dbr:Somewhere_with_You	wd:Q7560406
dbr:Leeuwarden	wd:Q25390
dbr:Dark_Command	wd:Q515687
dbr:Neo_Geo__u0028_system_u0029_	wd:Q1054350
dbr:Bad_Salzuflen	wd:Q4108
dbr:Simon_Says__u0028_The_Outer_Limits_u0029_	wd:Q7519731
dbr:Al_Hamra_Tower	wd:Q557933
dbr:Aravindhan	wd:Q4784516
dbr:Nippon_Columbia	wd:Q773717
dbr:Gaily_u002C__Gaily	wd:Q1491295
dbr:Everyday__u0028_The_Oak_Ridge_Boys_song_u0029_	wd:Q5417794
dbr:One_Love__u0028_Nas_song_u0029_	wd:Q3882514
dbr:Fatal_Instinct	wd:Q1139237
dbr:Theodor_Sparkuhl	wd:Q90926
dbr:The_Silver_Chalice__u0028_film_u0029_	wd:Q1999028
dbr:Down_Periscope	wd:Q1567203
dbr:Rookie_of_the_Year__u0028_film_u0029_	wd:Q3212960
dbr:H_to_He_u002C__Who_Am_the_Only_One	wd:Q1566204
dbr:Ann_u002D_Margret	wd:Q232059
dbr:Declan_Lowney	wd:Q5249354
dbr:Robert_Horne_u002C__1st_Viscount_Horne_of_Slamannan	wd:Q1241043
dbr:Grosset__u0026__Dunlap	wd:Q3117078
dbr:Men_Before_Marriage	wd:Q22000775
dbr:Sibyl_Morrison	wd:Q7507333
dbr:Steno__u0028_director_u0029_	wd:Q53052
dbr:Orianthi	wd:Q231015
dbr:Rob_Schremp	wd:Q1390207
dbr:The_Alliance__u0028_The_Office_u0029_	wd:Q7713172
dbr:Bridgnorth_Castle	wd:Q4966903
dbr:Vanishing_Point__u0028_1971_film_u0029_	wd:Q586880
dbr:Rio_Grande_do_Sul	wd:Q40030
dbr:Bari	wd:Q3519
dbr:Pop_art	wd:Q134147
dbr:Roman_Candles__u0028_film_u0029_	wd:Q3440837
dbr:Paul_C_u002E__Vogel	wd:Q464764
dbr:Chisipite_Senior_School	wd:Q20981281
dbr:Adoration__u0028_1928_film_u0029_	wd:Q12100414
dbr:The_Ladykillers	wd:Q794306
dbr:Ronnie_Milsap	wd:Q558582
dbr:Laura__u0028_1944_film_u0029_	wd:Q976149
dbr:Beat_the_Devil__u0028_film_u0029_	wd:Q1470370
dbr:American_Cyborg_u003A__Steel_Warrior	wd:Q3284428
dbr:The_Cat_and_the_Canary__u0028_1939_film_u0029_	wd:Q2699647
dbr:The_Plot_Against_America	wd:Q1758811
dbr:Trey_Parker	wd:Q44414
dbr:Gainax	wd:Q834328
dbr:Slalom__u0028_film_u0029_	wd:Q1057697
dbr:Warning__u0028_Green_Day_song_u0029_	wd:Q259302
dbr:Me_and_Earl_and_the_Dying_Girl__u0028_film_u0029_	wd:Q18152566
dbr:Aksuat	wd:Q2752954
dbr:Yes_Forever	wd:Q8052746
dbr:The_McConnell_Story	wd:Q7750757
dbr:Tender_Scoundrel	wd:Q1988228
dbr:Where_the_Heart_Is__u0028_1990_film_u0029_	wd:Q1217733
dbr:Dreamer__u0028_Supertramp_song_u0029_	wd:Q2854982
dbr:Al_Bolton	wd:Q16333827
dbr:The_Red_Baron__u0028_2008_film_u0029_	wd:Q835581
dbr:Wahaha__u0028_song_u0029_	wd:Q6136117
dbr:Bajo_Otra_Luz	wd:Q2735469
dbr:H_u002E__Fowler_Mear	wd:Q5628230
dbr:Richard_Gynge	wd:Q497417
dbr:Alex_Brown__u0028_rugby_league_u0029_	wd:Q4716742
dbr:Malin__u00C5_kerman	wd:Q229669
dbr:Grey_DeLisle	wd:Q13938
dbr:Gahan_Wilson	wd:Q5516907
dbr:Dale_Ellis	wd:Q770083
dbr:Disney_u0027_s_Party	wd:Q3030331
dbr:Newcastle_u002C__New_South_Wales	wd:Q57278
dbr:Jack__u0028_1996_film_u0029_	wd:Q1471358
dbr:The_Trumpet_Summit_Meets_the_Oscar_Peterson_Big_4	wd:Q7770563
dbr:Con_Air	wd:Q607910
dbr:King__u0028_2008_film_u0029_	wd:Q12993439
dbr:City_Lights	wd:Q238211
dbr:The_Horn_Blows_at_Midnight	wd:Q4357122
dbr:Kitty_Jay__u0028_album_u0029_	wd:Q6418565
dbr:Lamont_Johnson	wd:Q489540
dbr:Lori_Robinson	wd:Q6681124
dbr:The_IT_Crowd	wd:Q239672
dbr:The_Madcap_Laughs	wd:Q585923
dbr:Oswald_Morris	wd:Q721174
dbr:Highway_Don_u0027_t_Care	wd:Q12175879
dbr:The_Unraveling__u0028_album_u0029_	wd:Q1940211
dbr:Dhill	wd:Q3429488
dbr:Bryan_Foy	wd:Q2927152
dbr:OSS_117__u002D__Double_Agent	wd:Q3246902
dbr:Another_Earth	wd:Q567996
dbr:Toa_Kohe_u002D_Love	wd:Q7811332
dbr:Welcome_to_My_Hood	wd:Q7980715
dbr:The_Mad_Marechiaro	wd:Q3148510
dbr:Rollout__u0028_My_Business_u0029_	wd:Q948052
dbr:The_Goonies	wd:Q636043
dbr:The_Gigolo	wd:Q7736433
dbr:Bran_Nue_Dae__u0028_film_u0029_	wd:Q4956299
dbr:War_of_1812	wd:Q26013
dbr:Alexander_Svitov	wd:Q998552
dbr:Aldo_Tonti	wd:Q957569
dbr:John_Frizzell	wd:Q16243972
dbr:Memphis_Grizzlies	wd:Q165529
dbr:Confessions_of_a_Dangerous_Mind	wd:Q770965
dbr:John_Tucker_Must_Die	wd:Q771023
dbr:Hippolyte_Ferrat	wd:Q594480
dbr:Kalvanin_Kadhali__u0028_2006_film_u0029_	wd:Q6354708
dbr:Back_Blocks	wd:Q4839072
dbr:Fred_Flintstone	wd:Q614889
dbr:Ride_the_Pink_Horse	wd:Q1518939
dbr:Sunday_in_August	wd:Q652927
dbr:David_Gilmour	wd:Q178517
dbr:Sucks__u0028_song_u0029_	wd:Q7633138
dbr:Pilot__u0028_Lost_u0029_	wd:Q928951
dbr:Rage__u0028_German_band_u0029_	wd:Q312428
dbr:Poetry_for_the_Poisoned	wd:Q1754884
dbr:All_of_Me__u0028_1984_film_u0029_	wd:Q2299189
dbr:Fly_Farm_Blues	wd:Q5463155
dbr:Orlando_Magic	wd:Q161337
dbr:Igor_Gruppman	wd:Q465006
dbr:It_u0027_s_Not_Love__u0028_But_It_u0027_s_Not_Bad_u0029_	wd:Q6090465
dbr:Cosmos_Music_Group	wd:Q892824
dbr:Fable_II	wd:Q984024
dbr:Palletooru	wd:Q7127842
dbr:Deb_Fischer	wd:Q2580649
dbr:Kentucky__u0028_film_u0029_	wd:Q1150581
dbr:Overload__u0028_Sugababes_song_u0029_	wd:Q2605434
dbr:Roy_Rogers	wd:Q367129
dbr:Anton_Shenfeld	wd:Q16225071
dbr:Sons_of_Ingmar	wd:Q3213909
dbr:Three_Brothers_u002C__South_Georgia	wd:Q11647975
dbr:Jim_Slater__u0028_ice_hockey_u0029_	wd:Q931342
dbr:Thomas_H_u002E__Ince	wd:Q942822
dbr:Cold_Mountain__u0028_film_u0029_	wd:Q390097
dbr:The_Long_Goodbye__u0028_song_u0029_	wd:Q7748208
dbr:Bachelor_Apartment	wd:Q798118
dbr:Ocean_Software	wd:Q1408498
dbr:Mi_Buen_Amor	wd:Q6826964
dbr:Collide__u0028_film_u0029_	wd:Q17621678
dbr:Battle_Hymn__u0028_film_u0029_	wd:Q1859229
dbr:Le_Amiche	wd:Q2351289
dbr:I_Dream_of_Women_Like_You	wd:Q5977058
dbr:The_Thin_Line	wd:Q17052871
dbr:The_Titfield_Thunderbolt	wd:Q3532529
dbr:Robert_Crampton	wd:Q7343174
dbr:Billy_Weber	wd:Q863267
dbr:Abu_Kalijar	wd:Q288822
dbr:Can_u0027_t_Get_Enough__u0028_Barry_White_album_u0029_	wd:Q2342734
dbr:East_Meets_West__u0028_1936_film_u0029_	wd:Q5328955
dbr:USS_Sequoia__u0028_presidential_yacht_u0029_	wd:Q3547447
dbr:Dalibor_Brozovi_u0107_	wd:Q18446
dbr:Ava_Adore	wd:Q3297053
dbr:Fauj_Mein_Mauj	wd:Q5438078
dbr:Maxie__u0028_film_u0029_	wd:Q742893
dbr:Haggard__u0028_band_u0029_	wd:Q158304
dbr:DJ_Quik	wd:Q1154246
dbr:Inner_City_Blues__u0028_Make_Me_Wanna_Holler_u0029_	wd:Q6035381
dbr:Corporate_Cannibal	wd:Q5172404
dbr:Nicosia	wd:Q3856
dbr:Hollyrock_u002D_a_u002D_Bye_Baby	wd:Q5882450
dbr:Ford_Pinto	wd:Q1059377
dbr:Larry_C_u002E__Brewer	wd:Q12053536
dbr:Danilo_Desideri	wd:Q3702167
dbr:Desperate_Housewives	wd:Q131758
dbr:Chokher_Bali__u0028_film_u0029_	wd:Q1637583
dbr:Cupid__u0028_1998_TV_series_u0029_	wd:Q3003908
dbr:Dushmani_u003A__A_Violent_Love_Story	wd:Q5316892
dbr:Brandi_Love	wd:Q4355600
dbr:Phyllis_Thaxter	wd:Q270753
dbr:Takkar__u0028_1995_film_u0029_	wd:Q7678424
dbr:Whiskey_in_the_Jar	wd:Q1067744
dbr:Dana_Andrews	wd:Q365633
dbr:Hamlet__u0028_1996_film_u0029_	wd:Q898721
dbr:East_Side_u002C__West_Side__u0028_1949_film_u0029_	wd:Q3559142
dbr:Muqaddar	wd:Q6937135
dbr:Go_West_Young_Man__u0028_Michael_W_u002E__Smith_album_u0029_	wd:Q5574956
dbr:Mutant_Chronicles__u0028_film_u0029_	wd:Q1955804
dbr:X_You	wd:Q8221323
dbr:Daqiao_u002C__Nanbu_County	wd:Q2043398
dbr:Lookin_u0027__at_Me	wd:Q6675231
dbr:Replay__u0028_Grimwood_novel_u0029_	wd:Q1590481
dbr:The_People_Against_O_u0027_Hara	wd:Q3882167
dbr:The_Sea_Chase	wd:Q914238
dbr:Major_Distribution	wd:Q4043633
dbr:Late_Night_with_Conan_O_u0027_Brien	wd:Q1639429
dbr:Future_Days	wd:Q1004420
dbr:Fernando_Rey	wd:Q106743
dbr:Monte_Criollo	wd:Q6904735
dbr:Seetha_Kalyanam__u0028_2009_film_u0029_	wd:Q7445972
dbr:Joe_Penhall	wd:Q3808679
dbr:Warner_Music_Group	wd:Q21077
dbr:Tsutomu_Hata	wd:Q315720
dbr:It_Always_Rains_on_Sunday	wd:Q3148535
dbr:Quartet__u0028_1948_film_u0029_	wd:Q7269336
dbr:Behind_the_Screen	wd:Q2345856
dbr:Samiriyah	wd:Q17400646
dbr:Alvin_Luedecke	wd:Q4738168
dbr:Velai_Kidaichuduchu	wd:Q7918782
dbr:Nail__u0028_album_u0029_	wd:Q3869958
dbr:Madame_Rosa	wd:Q989225
dbr:Zenna_Henderson	wd:Q189642
dbr:Something_Better_Change__u0028_song_u0029_	wd:Q4049731
dbr:Eva_Burrows	wd:Q1022204
dbr:The_Accused__u0028_1949_film_u0029_	wd:Q920908
dbr:Maurice_Mealing	wd:Q6793348
dbr:A_Place_for_Lovers	wd:Q2656671
dbr:Heinrich_Kayser	wd:Q68556
dbr:Here_and_Elsewhere	wd:Q2915805
dbr:James_Bradley	wd:Q312278
dbr:Pulp_Fiction	wd:Q104123
dbr:Punjabi_language	wd:Q58635
dbr:D_u00E9_shabillez_u002D_moi	wd:Q1747247
dbr:Evilmainya	wd:Q5418481
dbr:Houston_Rockets	wd:Q161345
dbr:Good_Times__u0028_Willie_Nelson_album_u0029_	wd:Q5583023
dbr:Othello__u0028_1952_film_u0029_	wd:Q2704454
dbr:Source__u0028_game_engine_u0029_	wd:Q643572
dbr:The_Blue_Fox__u0028_1938_film_u0029_	wd:Q1192548
dbr:Lilo__u0026__Stitch	wd:Q36092
dbr:Dark_Rain	wd:Q5223367
dbr:Phat_Beach	wd:Q7181075
dbr:The_Cricket_Game	wd:Q7728051
dbr:Leonard_Part_6	wd:Q1755547
dbr:Ken_Kesey	wd:Q244390
dbr:The_Cameo_of_the_Yellowstone	wd:Q7721083
dbr:James_Donaldson__u0028_basketball_u0029_	wd:Q2327261
dbr:The_Place__u0028_album_u0029_	wd:Q7757316
dbr:H_u002E__Montgomery_Hyde	wd:Q5628434
dbr:Ramin_Djawadi	wd:Q57577
dbr:Napalm_Death	wd:Q321762
dbr:John_Coode__u0028_engineer_u0029_	wd:Q6226989
dbr:Lille_Syd	wd:Q803121
dbr:The_Cricket_on_the_Hearth__u0028_1909_film_u0029_	wd:Q3986454
dbr:Ramudu_Bheemudu	wd:Q7290347
dbr:Varaphalam	wd:Q7915464
dbr:Sarajevo	wd:Q11194
dbr:Tes_River	wd:Q2368048
dbr:Maldives	wd:Q826
dbr:Ulf_Malmros	wd:Q5974094
dbr:Crete	wd:Q34374
dbr:David_Baltimore	wd:Q234949
dbr:Albert_Cole__u0028_footballer_u0029_	wd:Q3608041
dbr:Epiphanies__u0028_Babylon_5_u0029_	wd:Q5383118
dbr:A_Day_in_the_Life	wd:Q300385
dbr:Two_Tickets_to_London	wd:Q391157
dbr:Rikki_Bains	wd:Q10387514
dbr:Robert_Coulter	wd:Q7343139
dbr:Poor_Leno	wd:Q7228783
dbr:Johnny_Cash	wd:Q42775
dbr:Aerosmith	wd:Q126826
dbr:Them_Heavy_People	wd:Q7781169
dbr:William_Hodding_Carter_u002C__I	wd:Q8012372
dbr:Steve_Brozak	wd:Q7612062
dbr:Nawngshu	wd:Q6982949
dbr:David_Snell__u0028_composer_u0029_	wd:Q3018799
dbr:Here_Comes_the_Bride__u0028_2010_film_u0029_	wd:Q5737167
dbr:Theodore_Theodorsen	wd:Q7782065
dbr:Find_Me_Guilty	wd:Q64173
dbr:Silver_Bullet__u0028_film_u0029_	wd:Q1198033
dbr:Castellano__u0026__Pipolo	wd:Q3662243
dbr:The_Conscience_of_a_Liberal	wd:Q7727397
dbr:Jubilee__u0028_1978_film_u0029_	wd:Q2456013
dbr:Donald_A_u002E__Wollheim	wd:Q908589
dbr:The_Pointy_End	wd:Q7757613
dbr:The_Fuller_Brush_Man	wd:Q7735437
dbr:The_Monsters_Are_Due_on_Maple_Street	wd:Q2633816
dbr:Family_Guy	wd:Q5930
dbr:Mercedes_u002D_Benz_W124	wd:Q1511429
dbr:Chongqing	wd:Q11725
dbr:Conrad_Nagel	wd:Q1126956
dbr:Pallacanestro_Treviso	wd:Q766443
dbr:Tin_Hats	wd:Q7807755
dbr:Stone_Gon_u0027_	wd:Q2343422
dbr:French_pop_music	wd:Q1162954
dbr:Baltimore__u0028_Tori_Amos_song_u0029_	wd:Q4852770
dbr:Meshgin_Shahr_County	wd:Q1274515
dbr:Euripides	wd:Q48305
dbr:Wilfrid_Lawson__u0028_actor_u0029_	wd:Q1343896
dbr:Spencer_Gordon_Bennet	wd:Q7576059
dbr:Pontypridd	wd:Q1024900
dbr:Juliet_Landau	wd:Q241692
dbr:Angel_Face__u0028_1953_film_u0029_	wd:Q210590
dbr:Richard_Widmark	wd:Q320036
dbr:Mannington_Township_u002C__New_Jersey	wd:Q929892
dbr:Young_Jeezy	wd:Q342447
dbr:Horst_Wendlandt	wd:Q87426
dbr:Twickenham	wd:Q1143278
dbr:No_u00EB_lle_Lenoir	wd:Q529265
dbr:Trying_to_Find_Atlantis	wd:Q7848520
dbr:Floods_of_Fear	wd:Q5460136
