dbr:Julian_Melchiori	wd:Q6307383
dbr:Andy_Dick	wd:Q367094
dbr:The_Valley_of_Decision	wd:Q1212192
dbr:Frank_Johnson__u0028_basketball_u0029_	wd:Q2316224
dbr:Espoo_Blues	wd:Q1368361
dbr:Lesley_u002D_Anne_Down	wd:Q115250
dbr:Lady_in_the_Water	wd:Q621529
dbr:Peter_Jackson__u0028_rugby_league_u0029_	wd:Q7174921
dbr:Secret_Admirer	wd:Q3477220
dbr:Elisabeth_Risdon	wd:Q2448741
dbr:Going_Bye_u002D_Bye_u0021_	wd:Q3010562
dbr:Stan_Winston	wd:Q320211
dbr:With_Friends_Like_These_u002E__u002E__u002E_	wd:Q8027989
dbr:1882_FA_Cup_Final	wd:Q4555872
dbr:Home_Ain_u0027_t_where_His_Heart_Is__u0028_Anymore_u0029_	wd:Q3034471
dbr:Omnicide__u2013__Creation_Unleashed	wd:Q608689
dbr:Orgasmo	wd:Q3885751
dbr:Leap_Day__u0028_Modern_Family_u0029_	wd:Q6509910
dbr:Bunraku__u0028_film_u0029_	wd:Q2702930
dbr:The_Big_Trees	wd:Q1232623
dbr:Union_College	wd:Q1567748
dbr:I_Know_How_He_Feels	wd:Q5977826
dbr:Richard_Hawkins__u0028_bishop_u0029_	wd:Q7326327
dbr:Xevious_3D_u002F_G	wd:Q5099488
dbr:Abdurrahim_El_u002D_Keib	wd:Q40579
dbr:Marcel_Hossa	wd:Q561648
dbr:Scampolo__u0028_1932_film_u0029_	wd:Q1314270
dbr:James_L_u002E__Brooks	wd:Q95125
dbr:Sen_u0027_Derrick_Marks	wd:Q7449879
dbr:Timothy_P_u002E__Marshall	wd:Q7807444
dbr:Sterlite_Energy	wd:Q7611499
dbr:Makkalai_Petra_Magarasi	wd:Q15220867
dbr:The_Bodyguard__u0028_soundtrack_u0029_	wd:Q664539
dbr:William_Stevens_Lawton	wd:Q8018804
dbr:The_Duchess_of_Langeais	wd:Q1410628
dbr:This_Is_Your_Song	wd:Q7786006
dbr:Charles_S_u002E__Dutton	wd:Q706513
dbr:Social_Democratic_Party__u0028_Romania_u0029_	wd:Q752435
dbr:Golden_Boy__u0028_film_u0029_	wd:Q1381081
dbr:The_Gift__u0028_John_Zorn_album_u0029_	wd:Q3521034
dbr:Bruce_Billings	wd:Q2926401
dbr:Rosario_Dawson	wd:Q228692
dbr:South_Park	wd:Q16538
dbr:Cary_Elwes	wd:Q311093
dbr:The_Great_Longing	wd:Q7737830
dbr:Giorgino	wd:Q592788
dbr:C_u002E__V_u002E__Rajendran	wd:Q18379517
dbr:Looney_Tunes	wd:Q622435
dbr:Kattuchembakam	wd:Q6378374
dbr:Sonora	wd:Q46422
dbr:Chhoti_Si_Baat	wd:Q947721
dbr:Basics__u0028_Star_Trek_u003A__Voyager_u0029_	wd:Q4867063
dbr:Norman_Snider	wd:Q19517826
dbr:Richard_L_u002E__Breen	wd:Q506404
dbr:University_of_Virginia	wd:Q213439
dbr:Tyshawn_Taylor	wd:Q558668
dbr:Renata_Ceribelli	wd:Q10359272
dbr:Toby_Gad	wd:Q106567
dbr:The_American_Gun_Mystery	wd:Q4009713
dbr:Cosmik_Debris	wd:Q5174152
dbr:Bore_Da__u0028_album_u0029_	wd:Q4944764
dbr:Emily_Watson	wd:Q229535
dbr:Denis_Istomin__u0028_ice_hockey_u0029_	wd:Q3022748
dbr:Charles_Bally	wd:Q13236
dbr:Juicy__u0028_The_Notorious_B_u002E_I_u002E_G_u002E__song_u0029_	wd:Q2701727
dbr:Woman_in_a_Dressing_Gown	wd:Q657542
dbr:Janusz_Kami_u0144_ski	wd:Q365230
dbr:When_Worlds_Collide__u0028_1951_film_u0029_	wd:Q1199203
dbr:Jan_Vopat	wd:Q6150148
dbr:Jessica_Mauboy	wd:Q443892
dbr:Black_Rain__u0028_1989_American_film_u0029_	wd:Q1048085
dbr:Henri_Math_u00E9_	wd:Q13080888
dbr:The_Strange_Door	wd:Q1619598
dbr:I_Miss_You__u0028_Darren_Hayes_song_u0029_	wd:Q5978483
dbr:Whoops_u002C__I_u0027_m_an_Indian	wd:Q12133130
dbr:Cornelis_Engebrechtsz_u002E_	wd:Q964357
dbr:Chinna__u0028_2005_film_u0029_	wd:Q5101126
dbr:Springfield_Indians	wd:Q1240798
dbr:Giancarlo_Esposito	wd:Q726142
dbr:Claire_Trevor	wd:Q233850
dbr:The_Alaskans	wd:Q1534639
dbr:Things_We_Lost_in_the_Fire__u0028_film_u0029_	wd:Q1306840
dbr:Douglas_M_u002E__Stone	wd:Q5301754
dbr:Bayonne	wd:Q134674
dbr:Frisco_Jenny	wd:Q1424210
dbr:The_Cemetery_Club	wd:Q4222846
dbr:The_Road__u0028_2009_film_u0029_	wd:Q738052
dbr:Lewis_Stone	wd:Q457220
dbr:National_University_of_Singapore	wd:Q738236
dbr:David_Finfer	wd:Q1174424
dbr:Tucker__u0028_2000_TV_series_u0029_	wd:Q971473
dbr:Greta_Garbo	wd:Q5443
dbr:What_Difference_Does_It_Make_u0025_3F	wd:Q2476510
dbr:Songs_for_the_Sinners	wd:Q682997
dbr:W_u002E__Howard_Greene	wd:Q504191
dbr:Jeff_Foxworthy	wd:Q2449557
dbr:A_Little_Too_Late__u0028_Toby_Keith_song_u0029_	wd:Q4657878
dbr:David_Richardson__u0028_figure_skater_u0029_	wd:Q3018691
dbr:The_Beat_That_My_Heart_Skipped	wd:Q931671
dbr:Arlington_County_u002C__Virginia	wd:Q107126
dbr:The_Pied_Piper__u0028_1942_film_u0029_	wd:Q1620455
dbr:Field_of_Dreams	wd:Q517958
dbr:The_Firefly__u0028_film_u0029_	wd:Q3822863
dbr:West_Point_Widow	wd:Q3567437
dbr:Odessa	wd:Q1874
dbr:Alexander_the_Great__u0028_1956_film_u0029_	wd:Q619228
dbr:The_Jungle_Book_2	wd:Q221947
dbr:Maan_Gaye_Ustaad	wd:Q6721100
dbr:Human_Emergency	wd:Q5937092
dbr:Kronid_Lyubarsky	wd:Q6438934
dbr:Jerusalem_Commands	wd:Q6185119
dbr:Airport__u0028_1993_film_u0029_	wd:Q4698877
dbr:Satisfied_Mind	wd:Q7426265
dbr:Gettysburg__u0028_1993_film_u0029_	wd:Q123166
dbr:Linda_McCartney	wd:Q228899
dbr:Panorama__u0028_song_u0029_	wd:Q1138540
dbr:Sanetschhorn	wd:Q3647563
dbr:Terminal_World	wd:Q7702704
dbr:Coming_Home__u0028_Diddy__u2013__Dirty_Money_song_u0029_	wd:Q2943242
dbr:Chafurin	wd:Q2714894
dbr:How_I_Won_the_War	wd:Q117090
dbr:Chhatrapati__u0028_film_u0029_	wd:Q251908
dbr:Kenneth_S_u002E__Davis	wd:Q6390659
dbr:James_Linder	wd:Q6138072
dbr:Teen_Second_Life	wd:Q7694317
dbr:Alexei_Bondarev	wd:Q542596
dbr:Play_Dead__u0028_1981_film_u0029_	wd:Q7203014
dbr:Shattered__u0028_Star_Trek_u003A__Voyager_u0029_	wd:Q7490690
dbr:Giovanni_Fusco	wd:Q981473
dbr:Shut_Up_and_Kiss_Me__u0028_album_u0029_	wd:Q7505580
dbr:Adriana_Olgu_u00ED_n	wd:Q8189774
dbr:The_Undefeated__u0028_1969_film_u0029_	wd:Q261854
dbr:Sins_Without_Intentions	wd:Q3898509
dbr:Love_the_World_Away	wd:Q6692003
dbr:Alexei_Zhamnov	wd:Q1345810
dbr:Bill_Whelan	wd:Q2469021
dbr:Boulevard__u0028_2014_film_u0029_	wd:Q17478848
dbr:Audio_u002D_Visions	wd:Q625892
dbr:Bairro	wd:Q16837104
dbr:Chi_u0219_in_u0103_u	wd:Q21197
dbr:Jonathan_Goldsmith	wd:Q1255362
dbr:File_Under_u003A__Easy_Listening	wd:Q1940990
dbr:Soft_and_Hard	wd:Q7553951
dbr:The_Man_from_Utopia	wd:Q615721
dbr:Magdalena_Mroczkiewicz	wd:Q25955
dbr:Scarface__u0028_1932_film_u0029_	wd:Q471306
dbr:The_Rum_Diary__u0028_film_u0029_	wd:Q830376
dbr:Military_Music_Center_of_the_Bundeswehr	wd:Q15136159
dbr:Tryin_u0027__to_Beat_the_Morning_Home	wd:Q7848506
dbr:Byron_F_u002E__Ritchie	wd:Q5004346
dbr:Kostas_Axelos	wd:Q983648
dbr:Falling_Down__u0028_Oasis_song_u0029_	wd:Q2318738
dbr:Cousin_Bette__u0028_film_u0029_	wd:Q835676
dbr:Dil_Dhadakne_Do	wd:Q17051888
dbr:The_Enemy__u0028_Bagley_novel_u0029_	wd:Q7732175
dbr:I_viaggiatori_della_sera	wd:Q3791406
dbr:Ranchi	wd:Q174461
dbr:The_Doodle	wd:Q7730662
dbr:Release_Therapy	wd:Q628434
dbr:Living_for_the_Night	wd:Q6659390
dbr:Anchor_Bay_Entertainment	wd:Q4752661
dbr:Nikita_Dvurechensky	wd:Q1857287
dbr:Maurice_LaMarche	wd:Q847124
dbr:Mikhail_Yakubov	wd:Q1400404
dbr:Henry_Haig	wd:Q16017782
dbr:Malayer_County	wd:Q1285937
dbr:Bloody_Well_Right	wd:Q4928121
dbr:Kurupt	wd:Q448930
dbr:British_Raj	wd:Q129286
dbr:Pajama_Party__u0028_film_u0029_	wd:Q12126853
dbr:Jos_u00E9__Luis_Alcaine	wd:Q974798
dbr:Herbert_Lom	wd:Q165357
dbr:Bernard_Campan	wd:Q822345
dbr:Catherine_D_u002E__Kimball	wd:Q5052623
dbr:Albert_Finney	wd:Q219546
dbr:Kru_u0161_evac	wd:Q201442
dbr:Ellen_Perry	wd:Q5364977
dbr:Swansea	wd:Q23051
dbr:Divorcing_Jack__u0028_film_u0029_	wd:Q3032439
dbr:The_Cruel_Sea__u0028_1953_film_u0029_	wd:Q1198767
dbr:Seinfeld	wd:Q23733
dbr:The_Champ__u0028_1979_film_u0029_	wd:Q2294175
dbr:Thambikku_Entha_Ooru	wd:Q7709826
dbr:Toss__u0028_2007_film_u0029_	wd:Q7827857
dbr:Slipping_Through_My_Fingers	wd:Q2375697
dbr:Gurudev__u0028_film_u0029_	wd:Q11057119
dbr:Gotta_Get_Thru_This__u0028_song_u0029_	wd:Q5587978
dbr:Trotta__u0028_film_u0029_	wd:Q7846356
dbr:Don_u0027_t_Call_This_Love	wd:Q14625061
dbr:May_McAvoy	wd:Q460262
dbr:Three_Upbuilding_Discourses_u002C__1844	wd:Q7797885
dbr:Dead_Is_Dead	wd:Q466188
dbr:Offspring__u0028_Angel_u0029_	wd:Q3212006
dbr:Morbid__u0028_Necro_song_u0029_	wd:Q6909478
dbr:Alternative_Tentacles	wd:Q438628
dbr:Gravity_of_Light	wd:Q1932640
dbr:Kaala_Patthar	wd:Q1719481
dbr:Winston_Garland	wd:Q4020456
dbr:Wizards_of_the_Coast	wd:Q1135204
dbr:Ken_Thorne	wd:Q332046
dbr:New_York_u002C__I_Love_You	wd:Q44935
dbr:Washington_University_in_St_u002E__Louis	wd:Q777403
dbr:Draft_Day	wd:Q15985322
dbr:Gladius__u0028_video_game_u0029_	wd:Q3771864
dbr:The_Cossacks__u0028_1928_film_u0029_	wd:Q7727705
dbr:Grateful_Dead__u0028_album_u0029_	wd:Q250543
dbr:Hitro_Okesene	wd:Q5872418
dbr:Tot_u00F2__u002C__Fabrizi_e_i_giovani_d_u0027_oggi	wd:Q3996012
dbr:Notocheiridae	wd:Q7063144
dbr:Rudbar_County	wd:Q1291695
dbr:Since_U_Been_Gone	wd:Q1423509
dbr:Alchemy__u0028_company_u0029_	wd:Q17081246
dbr:Ivy_Queen	wd:Q292135
dbr:The_Postman__u0028_film_u0029_	wd:Q1122688
dbr:Asaphocrita	wd:Q4803585
dbr:Janne_Niskala	wd:Q974516
dbr:Jack_Woolf	wd:Q6115855
dbr:A_Quality_of_Mercy	wd:Q2616495
dbr:The_Knockout	wd:Q1812066
dbr:Walter_G_u002E__Andrews	wd:Q3538195
dbr:Hood_Boy	wd:Q5897432
dbr:Jozef_Cleber	wd:Q3187269
dbr:When_the_Hangover_Strikes	wd:Q7992988
dbr:Certain_People_I_Know	wd:Q3665167
dbr:Al_u002D_Gharafa_Sports_Club	wd:Q428211
dbr:John_Lennon	wd:Q1203
dbr:The_Tenth_Level	wd:Q7768468
dbr:Cecil_Haig	wd:Q1642375
dbr:Panama	wd:Q804
dbr:Indecent_Proposal	wd:Q603448
dbr:Merrie_Melodies	wd:Q1750628
dbr:University_of_Rochester	wd:Q149990
dbr:Girls_u0027__Generation	wd:Q20153
dbr:Crazy_on_the_Outside	wd:Q2053673
dbr:Joseph_F_u002E__Biroc	wd:Q717851
dbr:Waking_the_Dead__u0028_film_u0029_	wd:Q287274
dbr:The_Way_of_All_Flesh__u0028_1940_film_u0029_	wd:Q20649961
dbr:That_u0027_s_When_I_Love_You	wd:Q7711062
dbr:Brendan_Kenneally	wd:Q4960950
dbr:Bramma	wd:Q4956197
dbr:Justin_Bieber_u003A__Never_Say_Never	wd:Q949429
dbr:Uppland	wd:Q203509
dbr:Leftoverture	wd:Q565487
dbr:Baroque	wd:Q37853
dbr:Empty_Hands	wd:Q3724876
dbr:Baldur_u0027_s_Gate_II_u003A__Shadows_of_Amn	wd:Q804859
dbr:Reality_television	wd:Q182415
dbr:The_Convent__u0028_film_u0029_	wd:Q2421084
dbr:Riders_to_the_Stars	wd:Q4115822
dbr:My_Gal_Sal	wd:Q1127669
dbr:Beast_of_Burden__u0028_song_u0029_	wd:Q2892919
dbr:John_H_u002E__Corcoran	wd:Q6236761
dbr:Wow_u002C__The_Kid_Gang_of_Bandits	wd:Q10921857
dbr:Wax_Trax_u0021__Records	wd:Q2545760
dbr:Dietrich_Lohmann	wd:Q109714
dbr:Faded_Steel_Heat	wd:Q5429196
dbr:Edward_C_u002E__Stearns	wd:Q5342169
dbr:Adrienne_Corri	wd:Q377450
dbr:Jules_Bocand_u00E9_	wd:Q1338496
dbr:Adam_Scott__u0028_actor_u0029_	wd:Q201842
dbr:Light_It_Up__u0028_film_u0029_	wd:Q1353003
dbr:Gangsters__u0028_film_u0029_	wd:Q15090159
dbr:Toho	wd:Q875920
dbr:Gloria_Stuart	wd:Q189407
dbr:Gracie_Allen	wd:Q255786
dbr:Chris_Givens	wd:Q3675492
dbr:Thunder__u0028_Prince_song_u0029_	wd:Q7798898
dbr:Curious_George_2_u003A__Follow_That_Monkey_u0021_	wd:Q3230419
dbr:Don_Wilson__u0028_kickboxer_u0029_	wd:Q958077
dbr:Star_Trek_u003A__The_Next_Generation	wd:Q16290
dbr:A_Very_Special_Love_Song	wd:Q4660450
dbr:Tinnitus_Sanctus	wd:Q670902
dbr:Masada_u003A__Dalet	wd:Q2399267
dbr:Neapolitan_Mouse	wd:Q3874085
dbr:Albert_Miralles	wd:Q2557612
dbr:The_Bugs_Bunny_u002F_Road_Runner_Movie	wd:Q2918397
dbr:Josh_Harris__u0028_quarterback_u0029_	wd:Q6288966
dbr:Henri_Morel__u0028_Canadian_politician_u0029_	wd:Q5715621
dbr:Massimo_Pirri	wd:Q3851402
dbr:Joseph_Barnes	wd:Q3184562
dbr:Bittersweet_Bundle_of_Misery	wd:Q4919072
dbr:Pork_Chop_Hill	wd:Q3047084
dbr:Diplo	wd:Q533781
dbr:1_u002C_000_Hours	wd:Q976888
dbr:The_SpongeBob_Movie_u003A__Sponge_Out_of_Water	wd:Q7765993
dbr:John_Fraser__u0028_British_Columbia_politician_u0029_	wd:Q6234022
dbr:Darwinia__u0028_video_game_u0029_	wd:Q210552
dbr:Virgil_W_u002E__Vogel	wd:Q3560610
dbr:Butler_Bowl	wd:Q5002575
dbr:Mutual_Film	wd:Q540590
dbr:Carl_Peter_Thunberg	wd:Q39658
dbr:Nikolai_Khabibulin	wd:Q553244
dbr:It_u0027_s_All_True__u0028_film_u0029_	wd:Q3155779
dbr:Executive_Decision	wd:Q1142051
dbr:Kanyadanam__u0028_1998_film_u0029_	wd:Q16250143
dbr:Ludolph_van_Ceulen	wd:Q310771
dbr:Lee_Rock_II	wd:Q10881515
dbr:American_Tongues	wd:Q4745254
dbr:Brothers_in_Law__u0028_film_u0029_	wd:Q2384574
dbr:Do_Numbri	wd:Q5286170
dbr:The_Legend_of_Zelda_u003A__A_Link_Between_Worlds	wd:Q11300470
dbr:Holy_Culture	wd:Q5885364
dbr:Ruff_Ryders_Entertainment	wd:Q1193843
dbr:Atari_u002C__Inc_u002E___u0028_Atari_u002C__SA_subsidiary_u0029_	wd:Q527336
dbr:Fred_Roos	wd:Q2675693
dbr:A_Big_10_u002D_8_Place	wd:Q4655452
dbr:Ilzaam	wd:Q6001699
dbr:La_lupa__u0028_1953_film_u0029_	wd:Q3210130
dbr:Where_Do_I_Fit_in_the_Picture	wd:Q7993209
dbr:Rafi_u0027_s_Revenge	wd:Q4047971
dbr:The_Running_Man__u0028_1963_film_u0029_	wd:Q3222253
dbr:F_u002E_I_u002E_S_u002E_T_u002E_	wd:Q967050
dbr:Irving_Reis	wd:Q3154622
dbr:The_Very_Merry_Widows	wd:Q376885
dbr:Vogts_Villa	wd:Q2253228
dbr:Roberto_Maurantonio	wd:Q7351798
dbr:Hide_and_Shriek	wd:Q5752202
dbr:Dalia_Grybauskait_u0117_	wd:Q57379
dbr:Noah_Beery_u002C__Jr_u002E_	wd:Q1361050
dbr:Firedemon	wd:Q5451793
dbr:Humberto_Mauro	wd:Q981968
dbr:Hawk_the_Slayer	wd:Q5684873
dbr:Catalonia	wd:Q5705
dbr:Back_to_December	wd:Q276589
dbr:Inverness	wd:Q160493
dbr:Speed_Demon__u0028_song_u0029_	wd:Q905780
dbr:Tip_on_a_Dead_Jockey	wd:Q2995985
dbr:Yesterday_Once_More__u0028_song_u0029_	wd:Q3270644
dbr:Oh_u0021__Sabella	wd:Q75569
dbr:Shaft__u0028_2000_film_u0029_	wd:Q917312
dbr:He_Is	wd:Q728879
dbr:Larry_Fine	wd:Q982177
dbr:Victoire_Rasoamanarivo	wd:Q3557035
dbr:The_Ink_in_the_Well	wd:Q7742059
dbr:She__u0028_Tyler_u002C__the_Creator_song_u0029_	wd:Q7491923
dbr:Around_the_World_in_80_Days__u0028_2004_film_u0029_	wd:Q156519
dbr:Akira_Kurosawa	wd:Q8006
dbr:_u00C9_mile_Rigaud	wd:Q3588718
dbr:Young_Guns_II	wd:Q883213
dbr:Super_Xevious_u003A__GAMP_no_Nazo	wd:Q3456898
dbr:Malcolm_Arnold	wd:Q313554
dbr:Canberra	wd:Q3114
dbr:Cartman_u0027_s_Mom_Is_a_Dirty_Slut	wd:Q858742
dbr:Niklas_Anger	wd:Q4981259
dbr:Farmer_u0027_s_Market_Barbecue	wd:Q5435691
dbr:The_First_Casualty	wd:Q7734085
dbr:Veeru_Dada	wd:Q7918223
dbr:KAT_u002D_TUN	wd:Q150750
dbr:Catch_Me_If_You_Can	wd:Q208108
dbr:Alter_Bridge	wd:Q335036
dbr:The_Blind_Woman_of_Sorrento__u0028_1934_film_u0029_	wd:Q3821750
dbr:English_Gothic_architecture	wd:Q750752
dbr:Official	wd:Q599151
dbr:Sleeping_with_the_Enemy	wd:Q1193347
dbr:Cinnamon_Girl__u0028_Prince_song_u0029_	wd:Q5121040
dbr:Left_Behind__u0028_2014_film_u0029_	wd:Q12071513
dbr:Sweet_Children__u0028_EP_u0029_	wd:Q1768794
dbr:Bhagyadevatha	wd:Q4900709
dbr:Watford	wd:Q2598
dbr:Seoul_Broadcasting_System	wd:Q928831
dbr:21_Guns__u0028_song_u0029_	wd:Q1648703
dbr:Sanjeev_Kumar	wd:Q1974722
dbr:Westside_Story__u0028_song_u0029_	wd:Q3498834
dbr:Paul_Sawtell	wd:Q3372172
dbr:The_Trick_in_the_Sheet	wd:Q3819187
dbr:Greek_language	wd:Q9129
dbr:George_B_u002E__Seitz	wd:Q441976
dbr:The_Brothers_Bloom	wd:Q990840
dbr:T_u00F6_reboda_Municipality	wd:Q501470
dbr:John_Travolta	wd:Q80938
dbr:Der_er_et_yndigt_land__u0028_film_u0029_	wd:Q5261256
dbr:The_Private_Affairs_of_Bel_Ami	wd:Q1754626
dbr:Dying_of_the_Light__u0028_Heroes_u0029_	wd:Q5318641
dbr:Let_u0027_s_Go_Navy_u0021_	wd:Q6532424
dbr:L_u0027_amante_di_Gramigna	wd:Q3422402
dbr:Sutton_Coldfield	wd:Q868196
dbr:I_Love_My_Country__u0028_UK_TV_series_u0029_	wd:Q5978144
dbr:The_Victory_of_Faith	wd:Q700206
dbr:Clean_and_Sober	wd:Q1748231
dbr:Feast_3_u003A__The_Happy_Finish	wd:Q5439532
dbr:Future_World__u0028_Pretty_Maids_album_u0029_	wd:Q3755200
dbr:D_u002E_C_u002E__Cab	wd:Q751279
dbr:Gilbert_Collett	wd:Q5560867
dbr:Dead_Babies__u0028_film_u0029_	wd:Q5245096
dbr:Saramoussaya	wd:Q7423039
dbr:Flushed_Away	wd:Q752301
dbr:I_u0027_ll_Give_a_Million__u0028_1936_film_u0029_	wd:Q3163422
dbr:Guddu	wd:Q1553024
dbr:Romanian_language	wd:Q7913
dbr:Drum_Beat	wd:Q2081544
dbr:Eriq_Ebouaney	wd:Q1340950
dbr:Stephen_Brunt	wd:Q7608796
dbr:Otto_Heinrich_Warburg	wd:Q76464
dbr:State_and_Main	wd:Q960668
dbr:Syco_Music	wd:Q7659636
dbr:Zat_u014D_ichi__u0028_2003_film_u0029_	wd:Q148330
dbr:Johannes_Crato_von_Krafftheim	wd:Q87688
dbr:The_Open_Road	wd:Q2457435
dbr:Lofa_River	wd:Q1659942
dbr:Heath_Shuler	wd:Q1592517
dbr:Sky__u0028_Yui_Horie_album_u0029_	wd:Q3266719
dbr:Jeremiah__u0028_TV_series_u0029_	wd:Q751059
dbr:Dustin_Hoffman	wd:Q42930
dbr:How_Do_You_Know	wd:Q523197
dbr:The_Ghost_Breaker__u0028_1914_film_u0029_	wd:Q3987212
dbr:Pretty_Hurts__u0028_song_u0029_	wd:Q15403953
dbr:Anne_Bancroft	wd:Q183532
dbr:James_Van_Trees	wd:Q512453
dbr:White	wd:Q23444
dbr:The_Prophecy__u0028_film_series_u0029_	wd:Q7758580
dbr:Cliff_Eidelman	wd:Q1101136
dbr:Tell_Me_O_Kkhuda	wd:Q7697458
dbr:Sam_Zimbalist	wd:Q1362717
dbr:Heroes_Shed_No_Tears__u0028_1980_film_u0029_	wd:Q5743129
dbr:Silas__u0028_TV_series_u0029_	wd:Q321869
dbr:Axel_Ockenfels	wd:Q101604
dbr:Navantia	wd:Q378849
dbr:Scary_Movie_4	wd:Q1055299
dbr:The_Witches__u0028_1967_film_u0029_	wd:Q2661437
dbr:Devathayai_Kanden	wd:Q5266609
dbr:John_F_u002E__Seitz	wd:Q724695
dbr:Nikolai_Lemtyugov	wd:Q965977
dbr:Yasawa	wd:Q3055364
dbr:Only_You__u0028_Can_Break_My_Heart_u0029_	wd:Q7094287
dbr:Let_It_Fly	wd:Q6532745
dbr:The_Devil_in_the_Dark	wd:Q1315800
dbr:The_Sims_3_u003A__Ambitions	wd:Q923973
dbr:Planet_of_the_Vampires	wd:Q1757747
dbr:Psycosissimo	wd:Q3925033
dbr:Spanish_Socialist_Workers_u0027__Party	wd:Q138198
dbr:William_N_u002E__Brewster	wd:Q16076967
dbr:Framed__u0028_1930_film_u0029_	wd:Q5477938
dbr:Joris_in__u0027_t_Veld	wd:Q6278904
dbr:Lily_Allen	wd:Q58735
dbr:Zindagi_Na_Milegi_Dobara	wd:Q3067642
